shapley_rank,zone_id,zone_name,borough,shapley_value,shapley_standard_error,ci_lower,ci_upper,start_zone,start_time,value_unit,competition_scenario,method,num_permutations,candidate_zone_count,baseline_value,full_coalition_value,state_coverage_count,discovery_sources,singleton_value,singleton_gain_over_wait_only,pair_synergy_with_best_anchor,reposition_time_from_start,reposition_distance_from_start,selection_reason,selected_player_order
1,186,Penn Station/Madison Sq West,Manhattan,0.397599921192764,0.0,0.397599921192764,0.397599921192764,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,61,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.4564972179479,0.3976099119323777,0.0,73.29275659246944,12.8840465449518,singleton_gain,1.0
2,93,Flushing Meadows-Corona Park,Queens,0.12439791945204483,0.0,0.12439791945204483,0.12439791945204483,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,87,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.30621624845753,0.2473289424420102,-2.732615442369024e-06,54.11466993150144,11.298168045517139,singleton_gain|multi_state_coverage,2.0
3,216,South Ozone Park,Queens,0.07126786791292863,0.0,0.07126786791292863,0.07126786791292863,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,95,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.25007575768562,0.1911884516701008,-1.3424004606577e-05,14.654840816217504,4.269912524182017,singleton_gain|multi_state_coverage,4.0
4,134,Kew Gardens,Queens,0.06744106730675002,0.0,0.06744106730675002,0.06744106730675002,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,61,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.25360862483117,0.19472131881565247,-1.121359392186605e-05,37.74232414147284,7.600310902659997,singleton_gain,3.0
5,138,LaGuardia Airport,Queens,0.020759143682536837,0.0,0.020759143682536837,0.020759143682536837,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,106,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.11425489678491,0.055367590769392905,-1.2236267352250252e-05,63.339030510585665,14.051968045517139,multi_state_coverage,5.0
6,28,Briarwood/Jamaica Hills,Queens,0.012539307884347794,0.0,0.012539307884347794,0.012539307884347794,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,22,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.10884414119857,0.04995683518305327,6.17261400748248e-06,39.24797531603666,7.9228949672616125,pair_synergy,7.0
7,237,Upper East Side South,Manhattan,3.0593029794834836e-05,0.0,3.0593029794834836e-05,3.0593029794834836e-05,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,94,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.05895724961778,6.994360225576202e-05,-2.1994710706962906e-05,71.70506358081963,12.604947878013506,multi_state_coverage,6.0
8,130,Jamaica,Queens,0.0,0.0,0.0,0.0,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,68,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.05888730601552,0.0,0.0,30.35218178098149,6.691632954289544,pair_synergy,8.0
9,161,Midtown Center,Manhattan,0.0,0.0,0.0,0.0,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,68,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.05888730601552,0.0,0.0,71.84101445555842,12.628846520654292,pair_synergy,9.0
10,76,East New York,Brooklyn,0.0,0.0,0.0,0.0,132,08:00,USD_per_2h,medium,exact,3628800,10,71.05888730601552,71.75292312647669,63,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.05888730601552,0.0,0.0,30.36507220425626,8.169350176566283,pair_synergy,10.0
