algorithm,scenario_id,path_id,node_occurrence_id,path_position,event_index,zone_id,zone_name,node_role,event_type,from_zone,to_zone,event_duration_minutes,raw_event_revenue,event_distance_miles,confidence,shapley_value,shapley_se,ci_lower,ci_upper,cost_model,method
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@000,0,0,132,JFK Airport,waiting_location,WAIT_FOR_PICKUP,132,132,0.344289194902691,0.0,0.0,0.995,0.0,0.0,0.0,0.0,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@001,1,1,164,Midtown South,passenger_dropoff,OCCUPIED_TRIP,132,164,73.06140630737713,84.45382028347873,16.931888046725845,0.995,57.48119809544867,0.04104593804439125,57.40074805688166,57.56164813401568,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@002,2,2,164,Midtown South,waiting_location,WAIT_FOR_PICKUP,164,164,1.0901253292104371,0.0,0.0,0.995,-0.26498907028578755,0.03371038444918924,-0.33106142380619846,-0.19891671676537664,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@003,3,3,68,East Chelsea,passenger_dropoff,OCCUPIED_TRIP,164,68,11.25148119768498,14.247503190663812,0.1644644966088565,0.995,9.86555664707102,0.046444246846228256,9.774525923252414,9.956587370889627,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@004,4,4,68,East Chelsea,waiting_location,WAIT_NO_PICKUP,68,68,5.0,0.0,0.0,0.995,-0.33628436945203183,0.04330427725989178,-0.42116075288141974,-0.2514079860226439,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@005,5,5,68,East Chelsea,waiting_location,WAIT_NO_PICKUP,68,68,5.0,0.0,0.0,0.995,-0.28265536144929637,0.0395827991938379,-0.36023764786921864,-0.2050730750293741,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@006,6,6,68,East Chelsea,waiting_location,WAIT_NO_PICKUP,68,68,5.0,0.0,0.0,0.995,-0.29316480529318645,0.040453054965287366,-0.37245279302514966,-0.21387681756122323,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@007,7,7,68,East Chelsea,waiting_location,WAIT_NO_PICKUP,68,68,5.0,0.0,0.0,0.995,-0.3348240258869799,0.04286513082951189,-0.4188396823128232,-0.2508083694611366,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@008,8,8,68,East Chelsea,waiting_location,WAIT_FOR_PICKUP,68,68,1.504514209478657,0.0,0.0,0.995,-0.3117541985483369,0.04169673746687263,-0.39347980398340726,-0.23002859311326657,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@009,9,9,90,Flatiron,passenger_dropoff,OCCUPIED_TRIP,68,90,3.926651290590769,9.946655808930611,0.01,0.995,6.7564878400584885,0.0442400988460794,6.669777246320173,6.843198433796804,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@010,10,10,90,Flatiron,waiting_location,WAIT_NO_PICKUP,90,90,5.0,0.0,0.0,0.995,-0.371675434894237,0.04206298741813976,-0.45411889023379093,-0.28923197955468305,fare_share,antithetic_mc
wait_only,11,wait_only__scenario_11,wait_only__scenario_11@011,11,11,90,Flatiron,waiting_location,WAIT_NO_PICKUP,90,90,3.821532470755344,0.0,0.0,0.995,-0.359058710944796,0.04132302525716467,-0.44005184044883877,-0.2780655814407533,fare_share,antithetic_mc
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@000,0,0,132,JFK Airport,waiting_location,WAIT_FOR_PICKUP,132,132,0.2080380939731896,0.0,0.0,0.995,0.0,0.0,0.0,0.0,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@001,1,1,230,Times Sq/Theatre District,passenger_dropoff,OCCUPIED_TRIP,132,230,83.48377631024489,75.37956634641472,16.982559874038632,0.995,51.10255305201661,0.0,51.10255305201661,51.10255305201661,fare_share,exact
