algorithm,scenario_id,path_id,node_occurrence_id,path_position,event_index,zone_id,zone_name,node_role,event_type,from_zone,to_zone,event_duration_minutes,raw_event_revenue,event_distance_miles,confidence,shapley_value,shapley_se,ci_lower,ci_upper,cost_model,method
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@000,0,0,132,JFK Airport,waiting_location,WAIT_FOR_PICKUP,132,132,0.2407094917224861,0.0,0.0,0.995,0.0,0.0,0.0,0.0,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@001,1,1,48,Clinton East,passenger_dropoff,OCCUPIED_TRIP,132,48,70.26902941009133,82.78239869646622,18.67407362521845,0.995,56.004218814339985,0.0,56.004218814339985,56.004218814339985,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@002,2,2,48,Clinton East,waiting_location,WAIT_NO_PICKUP,48,48,5.0,0.0,0.0,0.995,-0.4294486381698337,0.0,-0.4294486381698337,-0.4294486381698337,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@003,3,3,48,Clinton East,waiting_location,WAIT_NO_PICKUP,48,48,5.0,0.0,0.0,0.995,-0.4294486381698337,0.0,-0.4294486381698337,-0.4294486381698337,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@004,4,4,48,Clinton East,waiting_location,WAIT_FOR_PICKUP,48,48,1.2623670881474285,0.0,0.0,0.995,-0.4294486381698337,0.0,-0.4294486381698337,-0.4294486381698337,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@005,5,5,237,Upper East Side South,passenger_dropoff,OCCUPIED_TRIP,48,237,16.240612952028627,18.66705334884021,2.469780657824196,0.995,12.327155337223639,0.0,12.327155337223639,12.327155337223639,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@006,6,6,237,Upper East Side South,waiting_location,WAIT_FOR_PICKUP,237,237,0.4941154179017957,0.0,0.0,0.995,-0.4282969789429238,0.0,-0.4282969789429238,-0.4282969789429238,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@007,7,7,162,Midtown East,passenger_dropoff,OCCUPIED_TRIP,237,162,4.8126868139820544,8.67681077574691,1.1855554146793126,0.995,5.493389213542189,0.0,5.493389213542189,5.493389213542189,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@008,8,8,162,Midtown East,waiting_location,WAIT_FOR_PICKUP,162,162,3.9524307587072656,0.0,0.0,0.995,-0.41667703663556394,0.0,-0.41667703663556394,-0.41667703663556394,fare_share,exact
wait_only,212,wait_only__scenario_212,wait_only__scenario_212@009,9,9,237,Upper East Side South,passenger_dropoff,UNFINISHED_TRIP,162,237,12.72804806741901,0.0,0.6864355878386419,0.995,-0.41667703663556394,0.0,-0.41667703663556394,-0.41667703663556394,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@000,0,0,132,JFK Airport,waiting_location,WAIT_FOR_PICKUP,132,132,0.2108598441225839,0.0,0.0,0.995,0.0,0.0,0.0,0.0,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@001,1,1,230,Times Sq/Theatre District,passenger_dropoff,OCCUPIED_TRIP,132,230,83.48338652201815,75.37975532276859,16.98251977106013,0.995,51.10269408100321,0.0,51.10269408100321,51.10269408100321,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@002,2,2,186,Penn Station/Madison Sq West,algorithm_reposition_target,EMPTY_REPOSITION,230,186,18.687104369149026,0.0,1.404193346926646,0.99,-0.6709194123695527,0.0,-0.6709194123695527,-0.6709194123695527,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@003,3,3,186,Penn Station/Madison Sq West,waiting_location,WAIT_NO_PICKUP,186,186,5.0,0.0,0.0,0.995,-0.4839779114752206,0.0,-0.4839779114752206,-0.4839779114752206,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@004,4,4,186,Penn Station/Madison Sq West,waiting_location,WAIT_FOR_PICKUP,186,186,4.0616620535693215,0.0,0.0,0.995,-0.4839779114752206,0.0,-0.4839779114752206,-0.4839779114752206,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@005,5,5,48,Clinton East,passenger_dropoff,OCCUPIED_TRIP,186,48,4.628083079210299,15.910482464367515,0.6346204688295405,0.995,10.557624955458017,0.0,10.557624955458017,10.557624955458017,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@006,6,6,48,Clinton East,waiting_location,WAIT_FOR_PICKUP,48,48,0.2667749907846826,0.0,0.0,0.995,-0.5326601231014902,0.0,-0.5326601231014902,-0.5326601231014902,fare_share,exact
highest_demand,192,highest_demand__scenario_192,highest_demand__scenario_192@007,7,7,186,Penn Station/Madison Sq West,passenger_dropoff,UNFINISHED_TRIP,48,186,3.66212914114594,0.0,0.6966798861192458,0.995,-0.5326601231014902,0.0,-0.5326601231014902,-0.5326601231014902,fare_share,exact
highest_income,68,highest_income__scenario_68,highest_income__scenario_68@000,0,0,132,JFK Airport,waiting_location,WAIT_FOR_PICKUP,132,132,0.7311612510517117,0.0,0.0,0.995,0.0,0.0,0.0,0.0,fare_share,exact
highest_income,68,highest_income__scenario_68,highest_income__scenario_68@001,1,1,170,Murray Hill,passenger_dropoff,OCCUPIED_TRIP,132,170,82.97762572387691,86.98100802308308,15.05952467370956,0.995,58.813762018521366,0.0,58.813762018521366,58.813762018521366,fare_share,exact
highest_income,68,highest_income__scenario_68,highest_income__scenario_68@002,2,2,138,LaGuardia Airport,algorithm_reposition_target,EMPTY_REPOSITION,170,138,35.171797950226974,0.0,5.800620334703995,0.15,-1.912062920242649,0.0,-1.912062920242649,-1.912062920242649,fare_share,exact
highest_income,68,highest_income__scenario_68,highest_income__scenario_68@003,3,3,138,LaGuardia Airport,waiting_location,WAIT_NO_PICKUP,138,138,1.1194150748443974,0.0,0.0,0.995,-1.4126898510724286,0.0,-1.4126898510724286,-1.4126898510724286,fare_share,exact
greedy_net_earnings,189,greedy_net_earnings__scenario_189,greedy_net_earnings__scenario_189@000,0,0,132,JFK Airport,waiting_location,WAIT_NO_PICKUP,132,132,5.0,0.0,0.0,0.995,0.0036759755497035836,0.0,0.0036759755497035836,0.0036759755497035836,fare_share,exact
greedy_net_earnings,189,greedy_net_earnings__scenario_189,greedy_net_earnings__scenario_189@001,1,1,132,JFK Airport,waiting_location,WAIT_FOR_PICKUP,132,132,2.684821330911136,0.0,0.0,0.995,0.0036759755497035836,0.0,0.0036759755497035836,0.0036759755497035836,fare_share,exact
greedy_net_earnings,189,greedy_net_earnings__scenario_189,greedy_net_earnings__scenario_189@002,2,2,164,Midtown South,passenger_dropoff,OCCUPIED_TRIP,132,164,86.09070956459607,82.53794480935886,17.33463847448817,0.995,55.792557768861414,0.0,55.792557768861414,55.792557768861414,fare_share,exact
greedy_net_earnings,189,greedy_net_earnings__scenario_189,greedy_net_earnings__scenario_189@003,3,3,186,Penn Station/Madison Sq West,algorithm_reposition_target,EMPTY_REPOSITION,164,186,9.031262043181542,0.0,0.6603347362239406,0.99,-0.7314829512217765,0.0,-0.7314829512217765,-0.7314829512217765,fare_share,exact
greedy_net_earnings,189,greedy_net_earnings__scenario_189,greedy_net_earnings__scenario_189@004,4,4,186,Penn Station/Madison Sq West,waiting_location,WAIT_FOR_PICKUP,186,186,1.1473557087498278,0.0,0.0,0.995,-0.679894282251132,0.0,-0.679894282251132,-0.679894282251132,fare_share,exact
greedy_net_earnings,189,greedy_net_earnings__scenario_189,greedy_net_earnings__scenario_189@005,5,5,233,UN/Turtle Bay South,passenger_dropoff,OCCUPIED_TRIP,186,233,15.937772715286172,16.72454815251821,1.2280021345065104,0.995,10.770940102591105,0.0,10.770940102591105,10.770940102591105,fare_share,exact
greedy_net_earnings,189,greedy_net_earnings__scenario_189,greedy_net_earnings__scenario_189@006,6,6,233,UN/Turtle Bay South,waiting_location,WAIT_NO_PICKUP,233,233,0.1080786372752555,0.0,0.0,0.995,-0.6899225872896729,0.0,-0.6899225872896729,-0.6899225872896729,fare_share,exact
finite_horizon_value_iteration,118,finite_horizon_value_iteration__scenario_118,finite_horizon_value_iteration__scenario_118@000,0,0,132,JFK Airport,waiting_location,WAIT_FOR_PICKUP,132,132,0.7123286479203204,0.0,0.0,0.995,0.0,0.0,0.0,0.0,fare_share,antithetic_mc
finite_horizon_value_iteration,118,finite_horizon_value_iteration__scenario_118,finite_horizon_value_iteration__scenario_118@001,1,1,79,East Village,passenger_dropoff,OCCUPIED_TRIP,132,79,40.72395701145667,88.40500472132734,17.39806849573678,0.995,60.00369352689209,0.030272239046670098,59.94435993836062,60.063027115423566,fare_share,antithetic_mc
finite_horizon_value_iteration,118,finite_horizon_value_iteration__scenario_118,finite_horizon_value_iteration__scenario_118@002,2,2,79,East Village,waiting_location,WAIT_FOR_PICKUP,79,79,0.8144097637387162,0.0,0.0,0.995,-0.2634507171373005,0.03409970514590017,-0.33028613922326483,-0.19661529505133618,fare_share,antithetic_mc
finite_horizon_value_iteration,118,finite_horizon_value_iteration__scenario_118,finite_horizon_value_iteration__scenario_118@003,3,3,234,Union Sq,passenger_dropoff,OCCUPIED_TRIP,79,234,12.43546510659322,4.420048604082091,2.1045293037459136,0.995,2.443719865409936,0.03576845551726067,2.373613692596105,2.5138260382237667,fare_share,antithetic_mc
finite_horizon_value_iteration,118,finite_horizon_value_iteration__scenario_118,finite_horizon_value_iteration__scenario_118@004,4,4,79,East Village,algorithm_reposition_target,EMPTY_REPOSITION,234,79,11.580255456050908,0.0,1.269757957711102,0.99,-0.5888946438860979,0.041134914709455246,-0.6695190767166301,-0.5082702110555657,fare_share,antithetic_mc
finite_horizon_value_iteration,118,finite_horizon_value_iteration__scenario_118,finite_horizon_value_iteration__scenario_118@005,5,5,79,East Village,waiting_location,WAIT_NO_PICKUP,79,79,5.0,0.0,0.0,0.995,-0.20379196106766503,0.03551668296924925,-0.2734046596873936,-0.1341792624479365,fare_share,antithetic_mc
finite_horizon_value_iteration,118,finite_horizon_value_iteration__scenario_118,finite_horizon_value_iteration__scenario_118@006,6,6,79,East Village,waiting_location,WAIT_FOR_PICKUP,79,79,0.2753917483941137,0.0,0.0,0.995,-0.26375019011144135,0.031545611939641886,-0.3255795895131395,-0.20192079070974325,fare_share,antithetic_mc
