ablation_type,ablation_rank,mean_absolute_drop,std_absolute_drop,mean_percentage_drop,n
cumulative_top_shapley,1,0.41483653615176763,,0.5793849987376344,1
cumulative_top_shapley,2,0.4720318571513076,,0.6592673333374814,1
cumulative_top_shapley,3,0.4940363480431813,,0.6900000938746254,1
cumulative_top_shapley,4,0.5194422414938629,,0.7254834524076028,1
cumulative_top_shapley,5,0.6171740343147434,,0.8619813973220706,1
random_control,1,0.0712591247729236,0.14948052769494322,0.09952466650984823,20
random_control,2,0.03418779586713967,0.09292574734554128,0.047748677705857896,20
random_control,3,0.16698870283995645,0.19499739385296255,0.2332262010517106,20
random_control,4,0.20076072505488796,0.19224084581877177,0.28039418492767004,20
random_control,5,0.21923348392218714,0.20066063190300812,0.306194321705148,20
single_top_shapley,1,0.41483653615176763,,0.5793849987376344,1
single_top_shapley,2,0.057207847866138195,,0.07989983035529698,1
single_top_shapley,3,0.006797070967152763,,0.009493187341345114,1
single_top_shapley,4,0.0005888553688322418,,0.0008224298908008898,1
single_top_shapley,5,0.0009437546226394034,,0.0013181029711580707,1
