rank,algorithm,episodes,mean_net_earnings_2h,net_earnings_std,ci_lower,ci_upper,median_net_earnings_2h,worst_10_percent,mean_gross_revenue_2h,mean_operating_cost_2h,mean_completed_trips,completed_trips_std,mean_waiting_minutes,mean_empty_minutes,mean_occupied_minutes,mean_unfinished_occupied_minutes,mean_terminal_unused_minutes,mean_accounted_minutes,max_abs_time_accounting_error,mean_empty_miles,mean_occupied_miles,unfinished_trip_rate,mean_wait_decisions,mean_reposition_decisions,reposition_decision_share,first_action_wait_rate,competition_scenario,start_zone_expected_wait_min,start_zone_competitors_equivalent,learning_models_retrained_for_scenario
1,finite_horizon_value_iteration,150,74.52839824512053,18.94321804953913,71.49685198235397,77.55994450788708,73.76596171930001,53.99589008139067,80.35968900902277,5.831290763902259,3.0933333333333333,1.2709805265547667,19.41830661842981,7.54025164561097,86.25146598300528,6.78997575295394,0.0,120.0,2.842170943040401e-14,1.2364827546260946,22.088680300982944,0.6,6.526666666666666,0.62,0.08426260776260776,1.0,low,1.00720950847333,1.0560798644894374,False
2,wait_only,150,74.36052330333013,18.49861966362665,71.40012760071235,77.3209190059479,74.0288696581953,55.119629292890416,79.70158474712224,5.34106144379211,3.4133333333333336,1.4055817141871443,27.652585977179175,0.0,86.52864497716428,5.81876904565656,0.0,120.0,2.842170943040401e-14,0.0,21.36424577516844,0.5666666666666667,8.26,0.0,0.0,1.0,low,1.00720950847333,1.0560798644894374,False
3,dqn,150,72.94971453530529,16.922945978961312,70.24147913922017,75.6579499313904,73.19584161377207,53.24427272902875,78.90018807896469,5.950473543659401,3.013333333333333,1.1172032835315966,14.76140915589629,15.672334008555417,84.51668091870971,5.049575916838587,0.0,120.0,4.263256414560601e-14,2.0893488773701847,21.712545297267418,0.5933333333333334,5.626666666666667,1.2866666666666666,0.1786400266400266,1.0,low,1.00720950847333,1.0560798644894374,False
4,greedy_net_earnings,150,65.79229521751239,18.78170035315196,62.78659716953029,68.79799326549448,60.47317301296809,47.87239617240593,71.97981218531652,6.187516967804121,2.2,1.0555064944051948,11.065049308973718,23.150004448302784,76.31454535175058,9.470400890972925,0.0,120.0,2.842170943040401e-14,3.8643094161542306,20.885758455062252,0.68,4.34,0.9733333333333334,0.19569119769119767,1.0,low,1.00720950847333,1.0560798644894374,False
5,q_learning,150,64.66371251016082,17.851297907705916,61.80690986363505,67.5205151566866,62.34717293148682,46.6193205365,70.66551769960866,6.001805189447852,2.2533333333333334,0.991146490007024,10.610727729720965,25.56101861593582,74.05844895884603,9.769804695497188,0.0,120.0,4.263256414560601e-14,3.552187963204082,20.455032794587325,0.5933333333333334,4.333333333333333,1.26,0.22558345358345358,1.0,low,1.00720950847333,1.0560798644894374,False
6,highest_demand,150,57.72746882541323,15.492929353778157,55.248083751613954,60.20685389921251,56.50360397676507,39.6510618965396,63.63698829998934,5.9095194745761255,1.9266666666666667,0.8677415464865569,5.662625517941772,39.09249618566423,70.16443077915879,5.080447517235198,0.0,120.0,2.842170943040401e-14,4.9561608145363,18.6819170837682,0.7066666666666667,3.2266666666666666,1.7533333333333334,0.3467082732082732,1.0,low,1.00720950847333,1.0560798644894374,False
7,highest_income,150,54.4883209571658,17.219166936254386,51.73268033491021,57.24396157942139,51.73811634077616,38.91145023299479,61.091496663747144,6.603175706581342,1.2733333333333334,0.5543805620747033,7.164168016746503,41.32218175771374,64.35524634748171,7.158403878058043,0.0,120.0,2.842170943040401e-14,7.771897352815843,18.64080547350953,0.6866666666666666,2.993333333333333,1.46,0.33256878306878307,1.0,low,1.00720950847333,1.0560798644894374,False
1,finite_horizon_value_iteration,150,71.0837811182174,17.571842238105898,68.27170069304648,73.89586154338832,70.16322104704105,50.574144040523656,76.81810085012333,5.734319731905937,2.7866666666666666,1.1327146620366673,20.143927876581348,10.670456580296843,83.2573686674604,5.928246875661395,0.0,120.0,2.842170943040401e-14,1.5910018307451506,21.346277096878598,0.4666666666666667,6.38,0.96,0.1300833425833426,1.0,medium,1.4388707263904712,1.9372569492706249,False
2,wait_only,150,70.27871509524877,17.299630955725483,67.51019754802316,73.04723264247438,68.47418010955356,52.18779656599298,75.42415901849611,5.14544392324735,3.02,1.3334619624755433,32.967124638359515,0.0,82.32529668472104,4.707578676919439,0.0,120.0,2.842170943040401e-14,0.0,20.5817756929894,0.4266666666666667,9.046666666666667,0.0,0.0,1.0,medium,1.4388707263904712,1.9372569492706249,False
3,dqn,150,69.72203206465205,17.439898666935143,66.93106700852945,72.51299712077466,68.74392821769409,51.81836201179357,75.60279829632344,5.8807662316713785,2.7133333333333334,1.005599535131122,16.910120684959857,16.673026388013962,80.86846105010117,5.548391876925007,0.0,120.0,2.842170943040401e-14,2.3852102207783887,21.137854705907127,0.54,5.733333333333333,1.42,0.19025387575387573,1.0,medium,1.4388707263904712,1.9372569492706249,False
4,q_learning,150,63.98607105685446,17.16782557101297,61.23864676423811,66.73349534947081,60.93097929427405,47.22971789736542,69.86696251729481,5.880891460440376,2.1533333333333333,0.9464640423413824,12.993738827350496,24.962642679436577,73.53753376736574,8.466190590331815,0.039894135515363964,120.0,2.842170943040401e-14,3.424216276038564,20.09934956572294,0.5133333333333333,4.593333333333334,1.2533333333333334,0.21480471380471375,1.0,medium,1.4388707263904712,1.9372569492706249,False
5,greedy_net_earnings,150,63.430894223658626,17.92214112542086,60.5627543011038,66.29903414621344,59.019944018985484,45.68928109136348,69.69118059446521,6.260286370806571,1.8733333333333333,0.853706224455098,11.226668555274454,25.83767996474768,74.20326008777992,8.73239139219794,0.0,120.0,2.842170943040401e-14,4.376799046935095,20.664346436291193,0.6266666666666667,4.046666666666667,1.0733333333333333,0.21851635401635397,1.0,medium,1.4388707263904712,1.9372569492706249,False
6,highest_demand,150,57.723001734920956,15.591200434988341,55.227890012766494,60.21811345707542,56.57459488605538,39.37237115422263,63.595463764913575,5.872462029992606,1.8866666666666667,0.8788084265408953,7.048156473778434,38.061577541405754,70.11311621815364,4.777149766662171,0.0,120.0,4.263256414560601e-14,4.864792363272986,18.625055756697446,0.5133333333333333,3.3466666666666667,1.7,0.3353716931216931,1.0,medium,1.4388707263904712,1.9372569492706249,False
7,highest_income,150,54.73449827677893,16.954149880165687,52.021269216479396,57.44772733707846,51.875637720448196,39.153339109226984,61.321200500344005,6.586702223565078,1.28,0.5570777059529475,9.029101673671247,40.49688677826554,64.83181052785152,5.642201020211707,0.0,120.0,2.842170943040401e-14,7.639765567358274,18.70704332690204,0.5066666666666667,3.2733333333333334,1.42,0.3118941798941799,1.0,medium,1.4388707263904712,1.9372569492706249,False
1,finite_horizon_value_iteration,150,69.57507321680384,17.670900759209733,66.7471401266495,72.40300630695819,67.87872032982699,50.24750676201654,75.22968902533107,5.654615808527245,2.64,1.1368152854745535,22.773404661877223,10.713926575352337,80.45527606004387,6.0573927027265775,0.0,120.0,2.842170943040401e-14,1.6328530995793469,20.985610134529633,0.4,6.74,0.9533333333333334,0.12373502423502422,1.0,high,1.9424754806271363,2.9652968815153438,False
2,dqn,150,69.20018206672769,16.70717976840314,66.52647645578986,71.87388767766552,67.3866666902786,52.354509367874215,75.08042559347305,5.880243526745353,2.5866666666666664,0.9354083676756763,19.563599050321407,16.346971378139557,79.93076640012585,3.882783101425157,0.2758800699880283,120.0,2.842170943040401e-14,2.3473176404019953,21.173656466579416,0.38,6.0,1.4666666666666666,0.1947407037407037,1.0,high,1.9424754806271363,2.9652968815153438,False
3,wait_only,150,67.4370519000257,17.472012993120437,64.6409474813474,70.23315631870399,66.733614065447,50.59311244388773,72.43166894710453,4.994617047078833,2.7266666666666666,1.2090079502276427,37.13451601669756,0.0,78.17881851282354,4.686665470478889,0.0,120.0,2.842170943040401e-14,0.0,19.978468188315333,0.38,9.646666666666667,0.0,0.0,1.0,high,1.9424754806271363,2.9652968815153438,False
4,q_learning,150,61.51134982642093,17.20292836006593,58.758307917585,64.26439173525686,58.18893449007666,45.46803792229127,67.32329087172948,5.811941045308559,2.0,0.9412258178930583,15.564825783305924,25.05846436871477,70.46671419368708,8.876311762207042,0.03368389208517215,120.0,2.842170943040401e-14,3.509056093116279,19.738708088117956,0.5066666666666667,4.913333333333333,1.2333333333333334,0.20214357864357865,1.0,high,1.9424754806271363,2.9652968815153438,False
5,greedy_net_earnings,150,60.870048929512315,16.85909665513642,58.172031553328324,63.568066305696306,56.15539510549104,45.70881410981505,67.1312579343247,6.261209004812373,1.6333333333333333,0.727380762770928,11.612139228006827,27.61613665064883,71.31084426630376,9.46087985504059,0.0,120.0,2.842170943040401e-14,4.678847282178116,20.365988737071373,0.64,3.92,1.06,0.2261244126244126,1.0,high,1.9424754806271363,2.9652968815153438,False
6,highest_demand,150,58.351426733599,15.817789433454223,55.82005321950998,60.88280024768802,56.517043828514765,43.44670837636659,64.20906362715088,5.857636893551888,1.8533333333333333,0.8544134662823691,8.49964441990133,37.31507002109108,70.03880649884947,4.146479060158122,0.0,120.0,2.842170943040401e-14,4.720984397143519,18.709563177064027,0.47333333333333333,3.506666666666667,1.6733333333333333,0.3250225885225885,1.0,high,1.9424754806271363,2.9652968815153438,False
7,highest_income,150,54.03000265355639,16.390795715935045,51.406929036050215,56.65307627106256,51.2764339590621,40.534441417112454,60.527248108100125,6.4972454545437355,1.22,0.47586022424671537,11.238061865373728,40.160820969360906,64.00905313394209,4.59206403132327,0.0,120.0,2.842170943040401e-14,7.506707662234235,18.48227415594071,0.4266666666666667,3.6066666666666665,1.36,0.2905002405002405,1.0,high,1.9424754806271363,2.9652968815153438,False
