origin,destination,start_time,estimate_source,expected_driver_revenue,expected_duration_minutes,expected_distance_miles,revenue_std,duration_std,distance_std,confidence,observed_trip_count,is_directly_observed,query_index,valid
88,183,11:35,global_od_time_adjusted,64.06368982547376,102.27487562478535,15.92,8.589269791755108,57.15333691892248,0.5580919876388307,0.23962264150943396,0.0,False,0,True
7,229,10:02,full_observed_sparse_eb,20.319234379995493,18.92525243996764,2.949678161590915,4.746879576754228,9.306013977967748,0.7603549294575904,0.37984856599862693,6.131880995162653,True,1,True
97,9,03:42,global_od_time_adjusted,35.928558082766756,31.121766378638227,13.650000000000002,0.5,1.0,0.1,0.21372549019607845,0.0,False,2,True
90,248,21:54,temporal_same_od_eb,40.92338660691789,39.50893042107192,11.639420662731277,3.2334370191193624,8.387123965398036,0.4473557470429339,0.1342386703625004,0.41373661858594346,True,3,True
50,48,11:51,observed_dense_eb,9.33242887685689,7.437891203796575,0.7744622152875669,3.70599165022469,3.5662646292542,0.3787543130186431,0.9940252060011265,96.03733940817966,True,4,True
97,78,09:12,temporal_same_od_eb,50.097598872521935,66.7355406692064,12.9,0.5,1.0,0.1,0.15194349412353253,0.0,False,5,True
177,4,22:58,temporal_same_od_eb,31.177586012173336,29.775857739937535,5.485103453255439,1.124876956938794,1.2968144998555702,0.19239718918943727,0.16553768031818566,0.15155468942059258,True,6,True
55,69,15:44,full_observed_sparse_eb,77.92680868324796,149.08720095229828,19.44041416782047,2.76076565960565,21.230839032497183,3.85352509954439,0.09627671243445479,0.9258950423083618,True,7,True
185,110,01:55,spatial_gravity_time_fallback,156.38385275449573,115.10185920559883,25.699778762882495,54.734348464073506,34.53055776167964,6.424944690720624,0.10550000000000001,0.0,False,8,True
228,247,20:34,temporal_same_od_eb,58.24906579853028,46.71488613456003,15.112097144445602,0.5,1.0,0.1,0.1586539241300797,0.0,False,9,True
218,127,15:22,temporal_same_od_eb,89.33743067022473,105.38230623167773,25.60080377369836,2.3369952898874424,6.6966695239140135,6.025277248546261,0.18590153101246848,0.0,False,10,True
224,199,08:20,spatial_neighbor_gravity_eb,43.175324651090186,32.91634930344649,8.362484180864621,8.227315606206979,8.450900086082427,1.3571403691015587,0.3892307692307692,0.0,False,11,True
176,214,14:57,spatial_eb,15.453654798973416,13.281259671831968,2.497698311847526,3.509628027140331,1.7575410712936246,0.8141389452803637,0.2609804212058259,0.0,False,12,True
165,176,09:24,spatial_gravity_time_fallback,69.92417482573666,58.58349678071301,9.62058717782601,24.47346118900783,17.575049034213905,2.4051467944565026,0.10550000000000001,0.0,False,13,True
97,211,14:44,full_observed_sparse_eb,21.24680734039309,19.742639755391544,2.9533129659638115,3.9619685395368327,5.510715403710057,0.48168934670370284,0.17303413872700985,1.8023119585691205,True,14,True
32,199,03:43,spatial_neighbor_gravity_eb,24.578932721743275,17.520775495992865,5.619252129877158,5.181442976449025,5.721419373482044,1.2639579487833,0.26815987186040746,0.0,False,15,True
153,263,18:06,global_od_time_adjusted,39.41552811920321,45.804070888923704,8.378333333333332,2.071081977024328,14.766718312721963,0.8136833263349914,0.275,0.0,False,16,True
199,65,07:41,spatial_neighbor_gravity_eb,62.349122076668216,58.412668882327175,11.704777348591394,9.651472254274784,13.63749458705936,1.0614189102908416,0.3892307692307692,0.0,False,17,True
230,238,22:34,full_observed_dense_eb,19.02780879013036,13.620022063425473,2.617012632078691,3.848521389733016,3.500324414284471,0.5048846509097235,0.9769526814549476,424.61255389939015,True,18,True
210,231,12:06,full_observed_sparse_eb,52.401745649751454,76.77686214955298,12.652252811169461,5.28617223459949,29.420953075362377,2.733699088137312,0.1351079514524382,1.5834249591721843,True,19,True
157,143,05:31,temporal_same_od_eb,27.025152356832198,16.808203233224244,7.344810487006529,6.672622718289435,1.9339851668433614,0.5329667976930705,0.21836821776099333,0.08208646910548723,True,20,True
74,177,03:23,temporal_same_od_eb,45.382321417295756,36.16384952913131,15.23418998966614,3.223063029831709,6.068643379314787,1.0390034602454343,0.127016345749562,0.4905075788036797,True,21,True
9,113,15:27,spatial_neighbor_gravity_eb,57.864180174627876,55.733776697578314,11.615023575982582,1.771466175261438,2.1582044453292615,0.25,0.1596301728924389,0.0,False,22,True
240,117,02:54,global_od_time_adjusted,59.981726358404856,55.339657765495105,22.1,0.5,1.0,0.1,0.21372549019607845,0.0,False,23,True
214,244,20:11,spatial_neighbor_gravity_eb,86.51731899315584,75.40118566567249,20.880131300655332,1.0,2.0,0.25,0.13019861277381034,0.0,False,24,True
38,253,04:35,global_od_time_adjusted,33.361361284211306,28.850614661232598,12.5,0.5,1.0,0.1,0.21372549019607845,0.0,False,25,True
137,110,09:44,spatial_neighbor_gravity_eb,88.72044386056142,77.59461816761718,18.306799505539672,8.536522016214764,10.877506384655403,0.8964100219586646,0.14812565268320382,0.0,False,26,True
52,39,15:08,temporal_same_od_eb,48.45256353808193,89.16997997109718,10.087385058317578,5.300611718588538,12.61764993950673,1.7761477123442708,0.1363504232698329,0.46712264503430134,True,27,True
165,84,00:08,spatial_gravity_time_fallback,85.15661695151346,60.48757308519211,13.712648520978426,29.804815933029708,18.14627192555763,3.4281621302446066,0.10550000000000001,0.0,False,28,True
100,9,14:32,temporal_same_od_eb,75.65809178598666,69.61987455958061,13.105,5.69999999999998,8.31867127987482,0.125,0.15362367804367488,0.0,False,29,True
67,38,06:24,spatial_neighbor_gravity_eb,82.69874440266389,77.90430644387912,22.763209542815318,7.323476909391006,21.882026450269297,1.8340776135862666,0.1811035033303589,0.0,False,30,True
117,241,14:45,global_od_time_adjusted,78.57789447576013,158.52349346288327,14.55,4.153311931459037,59.251343100782925,8.759423497011664,0.2518518518518519,0.0,False,31,True
65,248,01:52,temporal_same_od_eb,41.74324487965273,40.6757455385042,15.11523895229589,0.5,1.0,0.1,0.16918504072958296,0.0,False,32,True
203,185,11:56,temporal_same_od_eb,63.77171568234335,72.37360026704542,18.4,0.5,1.0,0.1,0.15271571679095652,0.0,False,33,True
154,84,19:20,spatial_gravity_time_fallback,113.3368035363323,92.09876254741869,15.656264145858167,39.66788123771631,27.629628764225608,3.9140660364645417,0.10550000000000001,0.0,False,34,True
114,109,19:29,global_od_time_adjusted,133.6870652297924,82.67964281829497,24.0,0.5,1.0,0.1,0.21372549019607845,0.0,False,35,True
105,245,00:11,spatial_neighbor_gravity_eb,50.80444179257702,28.261162619735202,10.115968352309734,12.014058328714132,6.934248940478066,2.531968531073749,0.1721336724562248,0.0,False,36,True
240,30,16:09,spatial_neighbor_gravity_eb,95.46113715346743,102.12096682767069,21.298748424698886,1.0,2.0,0.25,0.1246241277272922,0.0,False,37,True
230,24,10:04,full_observed_sparse_eb,25.2310818946695,23.913797806852557,3.5888380880985595,4.18709543562335,4.8977471275981195,0.5242733228751973,0.31706885708578836,4.7462387986417625,True,38,True
158,152,01:03,full_observed_sparse_eb,32.33606244175641,25.375611733577184,6.924683471910356,7.22384550326935,3.9326458437993033,0.7357989556095669,0.33702481046374394,5.270876360903884,True,39,True
247,23,15:15,spatial_neighbor_gravity_eb,95.91973123283024,116.29689082841516,22.702116730203777,9.551754928924012,3.0530429491752353,1.3843008664625516,0.13879559576122855,0.0,False,40,True
260,78,21:56,temporal_same_od_eb,31.895974909220406,24.540369428711298,8.126697100670695,0.5,1.0,0.1,0.16062982048193866,0.0,False,41,True
