algorithm,scenario_id,event_index,event_type,from_zone,to_zone,start_elapsed_min,end_elapsed_min,event_duration_minutes,start_clock,end_clock,revenue,operating_cost,distance_miles,wait_minutes,confidence,completed_within_horizon,route_path,selected_action
wait_only,11,0,WAIT_FOR_PICKUP,132,132,0.0,0.344289194902691,0.344289194902691,08:00,08:00,0.0,0.0,0.0,0.344289194902691,0.995,True,,WAIT
wait_only,11,1,OCCUPIED_TRIP,132,164,0.344289194902691,73.40569550227981,73.06140630737713,08:00,09:13,84.4538202834787,5.926160816354044,16.93188804672584,0.0,0.995,True,,WAIT
wait_only,11,2,WAIT_FOR_PICKUP,164,164,73.40569550227981,74.49582083149025,1.0901253292104371,09:13,09:14,0.0,0.0,0.0,1.0901253292104431,0.995,True,,WAIT
wait_only,11,3,OCCUPIED_TRIP,164,68,74.49582083149025,85.74730202917523,11.251481197684981,09:14,09:26,14.24750319066381,0.057562573813099746,0.16446449660885643,0.0,0.995,True,,WAIT
wait_only,11,4,WAIT_NO_PICKUP,68,68,85.74730202917523,90.74730202917523,5.0,09:26,09:31,0.0,0.0,0.0,5.0,0.9949999999999999,True,,WAIT
wait_only,11,5,WAIT_NO_PICKUP,68,68,90.74730202917523,95.74730202917523,5.0,09:31,09:36,0.0,0.0,0.0,5.0,0.995,True,,WAIT
wait_only,11,6,WAIT_NO_PICKUP,68,68,95.74730202917523,100.74730202917523,5.0,09:36,09:41,0.0,0.0,0.0,5.0,0.995,True,,WAIT
wait_only,11,7,WAIT_NO_PICKUP,68,68,100.74730202917523,105.74730202917523,5.0,09:41,09:46,0.0,0.0,0.0,5.0,0.9949999999999999,True,,WAIT
wait_only,11,8,WAIT_FOR_PICKUP,68,68,105.74730202917523,107.25181623865389,1.504514209478657,09:46,09:47,0.0,0.0,0.0,1.5045142094786588,0.995,True,,WAIT
wait_only,11,9,OCCUPIED_TRIP,68,90,107.25181623865389,111.17846752924466,3.926651290590769,09:47,09:51,9.946655808930613,0.0034999999999999996,0.01,0.0,0.995,True,,WAIT
wait_only,11,10,WAIT_NO_PICKUP,90,90,111.17846752924466,116.17846752924466,5.0,09:51,09:56,0.0,0.0,0.0,5.0,0.9949999999999999,True,,WAIT
wait_only,11,11,WAIT_NO_PICKUP,90,90,116.17846752924466,120.0,3.8215324707553435,09:56,10:00,0.0,0.0,0.0,3.8215324707553435,0.995,True,,WAIT
