origin,destination,edge_source,trip_count,avg_distance_miles,avg_duration_min,avg_driver_income,travel_time_cost,distance_cost,edge_income_score,edge_time_score,edge_distance_score,edge_utility_proxy
1,1,historical_od,48,1.7325,3.873263888888889,52.24114583333333,3.873263888888889,1.7325,0.4141576741730846,0.015566788800353473,0.036141363321676695,0.40095307527465635
1,68,historical_od,5,16.14,38.263333333333335,62.400800000000004,38.263333333333335,16.14,0.4947014423647992,0.2875212761150191,0.42763463362817167,0.2867956092630639
1,125,historical_od,5,12.745999999999999,29.663333333333334,50.4056,29.663333333333334,12.745999999999999,0.39960582273405343,0.2195130217355285,0.3354098785061696,0.23953783009036372
1,132,historical_od,7,33.01571428571428,70.15238095238095,103.71799999999999,70.15238095238095,33.01571428571428,0.82225619221536,0.5396978415098888,0.8861963948270138,0.4194778122363635
1,138,historical_od,5,28.198,67.52000000000001,119.70419999999999,67.52000000000001,28.198,0.9489916859579426,0.5188811399478831,0.7552852220963803,0.5762583326695441
1,163,historical_od,6,17.411666666666665,56.99722222222223,75.96283333333334,56.99722222222223,17.411666666666665,0.6022186128401694,0.4356676808909107,0.46218947951212735,0.315056350467895
2,30,spatial_adjacency,0,1.0270781807214975,5.135390903607488,0.0,5.135390903607488,1.0270781807214975,0.0,0.02554760915805225,0.016973020793486643,-0.015319757698049122
2,132,spatial_adjacency,0,3.145248096911377,15.726240484556884,0.0,15.726240484556884,3.145248096911377,0.0,0.10929937571574153,0.07452979799661073,-0.06582915755736238
3,3,historical_od,48,2.555833333333333,6.527777777777778,6.49425,6.527777777777778,2.555833333333333,0.051485154710798536,0.036558516220056535,0.058513701285862994,0.024428841407890818
3,18,historical_od,35,2.996,17.514761904761905,12.740999999999998,17.514761904761905,2.996,0.10100817741390984,0.12344288963533116,0.07047429735133183,0.028715587993544484
3,20,historical_od,31,2.4358064516129034,14.826881720430107,11.203387096774192,14.826881720430107,2.4358064516129034,0.08881828047309286,0.102187303668165,0.05525222521788299,0.029436794856327907
3,31,historical_od,5,1.666,7.783333333333333,9.401,7.783333333333333,1.666,0.07452930506774716,0.046487369895615235,0.03433436679380011,0.04613546510086953
3,32,historical_od,43,1.2958139534883721,9.633333333333333,7.013348837209302,9.633333333333333,1.2958139534883721,0.0556004696346029,0.06111705252376146,0.024275345730418577,0.02140064151315938
3,35,historical_od,6,17.716666666666665,73.37222222222222,34.88333333333333,73.37222222222222,17.716666666666665,0.27654830249759743,0.5651601419913942,0.47047720794825304,-0.07660334969033762
3,37,historical_od,5,14.648,38.39,37.3142,38.39,14.648,0.295819742065624,0.288522948078748,0.38709269649145184,0.09349436355253223
3,41,historical_od,19,9.577894736842106,40.01929824561404,23.990105263157897,40.01929824561404,9.577894736842106,0.19018890264495922,0.3014073352354663,0.2493233339877658,0.002086734929061196
3,42,historical_od,57,9.37157894736842,38.521929824561404,25.636333333333333,38.521929824561404,9.37157894736842,0.20323987956796674,0.2895662407611914,0.24371713977385506,0.021899188221292776
3,45,historical_od,9,14.100000000000001,68.04444444444444,35.73888888888889,68.04444444444444,14.100000000000001,0.283330981042689,0.5230284133415677,0.37220195818654406,-0.03401351935607645
3,47,historical_od,18,4.080555555555556,24.20462962962963,16.794555555555554,24.20462962962963,4.080555555555556,0.1331439798401476,0.1763459391699763,0.09994479544423636,0.029979290938524014
3,48,historical_od,10,18.505000000000003,42.089999999999996,34.5464,42.089999999999996,18.505000000000003,0.2738771603651123,0.3177823133350404,0.4918984951082939,0.04120122943134799
3,50,historical_od,10,13.969999999999999,46.845,36.154999999999994,46.845,13.969999999999999,0.2866298292441653,0.35538455165765415,0.36866948377114617,0.05363713084966631
3,51,historical_od,73,1.7758904109589042,9.810502283105022,8.684794520547946,9.810502283105022,1.7758904109589042,0.06885136690486297,0.06251809333820567,0.03732040575695306,0.03199425937221718
3,58,historical_od,7,3.1557142857142857,12.052380952380954,10.414,12.052380952380954,3.1557142857142857,0.0825601726386043,0.08024672762053957,0.07481419449024918,0.031214679654797135
3,60,historical_od,9,4.716666666666667,17.625925925925927,15.008777777777778,17.625925925925927,4.716666666666667,0.11898667989512013,0.12432196766197882,0.11722976640846935,0.03924123110286032
3,61,historical_od,9,17.825555555555557,66.66481481481482,38.605777777777774,66.66481481481482,17.825555555555557,0.3060591202401504,0.5121183897600172,0.4734360326722616,-0.021015479540697435
3,69,historical_od,35,6.8914285714285715,28.625238095238096,23.4108,28.625238095238096,6.8914285714285715,0.18559628285076216,0.21130383045384027,0.1763243109327255,0.053495720983933195
3,74,historical_od,25,8.666,36.67733333333334,25.71296,36.67733333333334,8.666,0.20384736092275077,0.2749792887375921,0.22454452762291446,0.032676037410517556
3,75,historical_od,38,9.12657894736842,42.78201754385965,26.282052631578946,42.78201754385965,9.12657894736842,0.20835901695410428,0.3232547441673518,0.23705978414483603,0.01117267724870298
3,76,historical_od,9,17.615555555555556,55.51481481481481,38.568444444444445,55.51481481481481,17.615555555555556,0.30576314881272826,0.42394489716335204,0.46772972784738814,0.023631241053944013
3,78,historical_od,37,3.734594594594595,17.287387387387387,13.717162162162161,17.287387387387387,3.734594594594595,0.10874700174955239,0.12164482637753812,0.09054403972638217,0.034342982601826
