path_id,algorithm,destination,path,required_optional_nodes,required_mask,travel_time_min,distance_miles,dest_expected_income,route_utility
0,yen_ksp_time,93,132-93,93,8,16.953971490717006,8.126482171987881,40.97755134074559,0.3687376318906137
1,yen_ksp_time,138,132-93-138,"93,138",24,25.267638157383672,10.88028217198788,36.396371792467015,0.3680134813957192
2,yen_ksp_time,10,132-10,10,2,11.802672337035476,3.893251089554337,34.52952066715011,0.3577686400071762
3,yen_ksp_time,219,132-219,,0,11.403232909081146,4.224411148703077,33.594279263856194,0.3449326102806564
4,yen_ksp_time,2,132-2,2,1,23.24137931034483,8.659310344827587,44.24448,0.3425088365959607
5,yen_ksp_time,138,132-207-138,"207,138",48,27.364687672747376,14.121280265339966,36.396371792467015,0.3252669426648988
6,yen_ksp_time,2,132-30-2,"30,2",5,29.186984040862388,10.627151710133262,44.24448,0.2646395136205982
7,yen_ksp_time,10,132-219-10,10,2,21.00890666794639,6.44292178700095,34.52952066715011,0.2401791232568197
8,yen_ksp_time,219,132-218-219,218,64,20.20511594546321,5.75519197694595,33.594279263856194,0.237949224906954
9,yen_ksp_time,93,132-219-93,93,8,28.16793879143409,10.841469972232488,40.97755134074559,0.2278480684145117
