algorithm,scenario_id,start_zone,start_time,horizon_minutes,gross_revenue_2h,operating_cost_2h,net_earnings_2h,completed_trips,waiting_minutes,empty_minutes,occupied_minutes,unfinished_occupied_minutes,terminal_unused_minutes,accounted_minutes,time_accounting_error,empty_miles,occupied_miles,unfinished_trip_at_horizon,end_zone,wait_decisions,reposition_decisions,first_action
wait_only,0,132,08:00,120,166.31760979904737,9.653831645538537,156.66377815350884,3,21.19776888266535,0.0,93.52669962428361,5.275531493051034,0.0,120.0,0.0,0.0,27.582376130110106,1,230,7,0,WAIT
wait_only,1,132,08:00,120,81.21323370955625,6.447146388967537,74.76608732058871,2,14.683140167824371,0.0,105.31685983217564,0.0,0.0,120.00000000000001,-1.4210854715202004e-14,0.0,18.420418254192963,0,236,5,0,WAIT
wait_only,2,132,08:00,120,126.62158868756217,8.63309838515916,117.98849030240301,4,45.187045745819646,0.0,74.81295425418034,0.0,0.0,119.99999999999999,1.4210854715202004e-14,0.0,24.66599538616903,0,162,11,0,WAIT
wait_only,3,132,08:00,120,140.76358108380708,10.223932047511147,130.53964903629594,6,38.633896225893736,0.0,72.70301632389265,8.663087450213595,0.0,119.99999999999999,1.4210854715202004e-14,0.0,29.211234421460418,1,237,11,0,WAIT
wait_only,4,132,08:00,120,83.78973230945856,6.137934888397503,77.65179742106105,1,35.32098463705576,0.0,81.39787219887498,3.281143164069263,0.0,120.0,0.0,0.0,17.536956823992867,1,68,8,0,WAIT
wait_only,5,132,08:00,120,114.74362717356317,6.468431578212092,108.27519559535108,3,43.55831760090007,0.0,74.05209135656749,2.3895910425324303,0.0,119.99999999999999,1.4210854715202004e-14,0.0,18.48123308060598,1,113,10,0,WAIT
wait_only,6,132,08:00,120,137.0388170603905,8.04171114211823,128.99710591827227,4,46.81456028213426,0.0,73.18543971786573,0.0,0.0,120.0,0.0,0.0,22.97631754890923,0,162,12,0,WAIT
wait_only,7,132,08:00,120,138.52986891971105,9.212868045629273,129.31700087408177,3,16.439574031525837,0.0,103.56042596847416,0.0,0.0,120.0,0.0,0.0,26.322480130369357,0,234,5,0,WAIT
wait_only,8,132,08:00,120,99.85436006882136,8.21211944460551,91.64224062421586,2,83.30113021675206,0.0,32.88128322497901,3.8175865582689283,0.0,119.99999999999999,1.4210854715202004e-14,0.0,23.4631984131586,1,163,19,0,WAIT
wait_only,9,132,08:00,120,132.56840682331432,7.5087189322549985,125.05968789105933,5,24.128618509052487,0.0,94.90795744974346,0.9634240412040498,0.0,120.0,0.0,0.0,21.45348266358571,1,236,8,0,WAIT
