time_bin,speed_mph,revenue_per_mile
0,13.590358639119419,7.5876946177749005
1,13.611419042282837,7.660352129254609
2,13.7018808252545,7.657045770241713
3,13.678146849167458,7.693686010834829
4,13.68367062161412,7.665181086638498
5,13.71822173515246,7.630425929207564
6,13.60786117877191,7.6461498878640395
7,12.964990901976716,7.630790818094648
8,13.654640655706457,7.583798433313524
9,13.768690630077419,7.536635136665016
10,13.871088624611195,7.466444246226498
11,14.113689591127619,7.386458882017138
12,14.36075986013917,7.263120615917618
13,14.873587998927952,7.203228023419492
14,15.324116110321329,7.046080871245557
15,15.744420680735026,6.977679977841068
16,16.309424741579832,6.998371688279747
17,17.269585977746136,6.82209899246966
18,18.42869508193166,6.634948866400822
19,19.122326962182377,6.509108067082938
20,19.61409155793459,6.349533605589027
21,19.302107765220693,6.448370227869553
22,18.658056966505118,6.358833863649259
23,17.669031925481942,6.5691365752153885
24,17.267427260089434,6.526324689764428
25,16.214700665131524,6.584958827157839
26,15.007952411675914,6.729560171033231
27,14.169579325422093,7.094328130959524
28,13.482712021984112,7.3112431168769385
29,12.70072963603944,7.526250950982537
30,11.8242303268372,7.799256359703688
31,10.979006399535344,8.400697069062405
32,10.547328667080524,8.626956147402206
33,10.246880239571217,8.78496703955227
34,10.027493378559791,8.939051273747921
35,9.946613674766096,9.203672874503967
36,9.967759362627126,9.231058230165898
37,9.89534912530662,9.270726073036077
38,9.828017516238036,9.244320458952973
39,9.70327098068982,9.407834193897008
40,9.743795649450226,9.389257042508019
41,9.680501833661472,9.42800272207722
42,9.563819029367655,9.445725364143597
43,9.37836382896506,9.645350451325601
44,9.349511712353682,9.655442656548374
45,9.192992421750292,9.740951663829836
46,9.09677096110328,9.784822642179536
47,9.067917584336808,9.909164364126486
48,9.157295046139183,9.866450500059697
49,9.124194859064719,9.855402299061014
50,9.13530900811783,9.814876858372921
51,9.135444522204354,9.84025164174911
52,9.188995973728249,9.784568874725469
53,9.158407302259974,9.806893909537804
54,9.170141753293606,9.757264378153444
55,9.114462205062779,9.752074182712255
56,9.161258660224313,9.618834560355268
57,9.06957040465029,9.62628147580362
58,8.965592197560055,9.633943649054197
59,8.897394265762891,9.650960738803054
60,8.871296850211259,9.593922552560354
61,8.813800269601614,9.601903993056357
62,8.761457627042438,9.613707194987732
63,8.564137821345616,10.09620038457564
64,8.822084786155859,10.146665353641183
65,8.868058894657562,10.094724139437734
66,8.923337023890213,10.028870004759165
67,8.82828008506897,10.135075902226776
68,8.758177862087592,10.239400141269588
69,8.751812105577045,10.248193424438673
70,8.812368547221315,10.238544767289884
71,8.859961336680815,10.247535552131435
72,8.96593054872212,10.206808162152319
73,9.05657968453276,10.156772303802693
74,9.327116001871284,10.033369095517678
75,9.524865216606893,9.984041709020751
76,9.827310605483309,9.795940775173477
77,10.106178346545375,9.66554197902948
78,10.390531199131662,9.369506958914485
79,10.584308490125245,9.050784450461702
80,11.106789723436664,8.545027839542822
81,11.302962057187823,8.42983115308953
82,11.531511972758853,8.33670267805856
83,11.596478773379996,8.286660351033229
84,11.718818862383246,8.208793565614766
85,11.810312691748111,8.183731876726597
86,11.846531245115537,8.195719601245333
87,11.789554732625096,8.204268293282057
88,11.835531074065369,8.147064446384162
89,11.9918043316153,8.119277568872839
90,12.138993895863745,8.08517122488859
91,12.267262092573912,8.015234961136388
92,12.622075868379648,7.863156658893296
93,12.933883827089291,7.771276970080881
94,13.272385509527524,7.6993127238849794
95,13.475238174971496,7.671337801681378
