zone_id,zone_name,shapley_value,start_time_expected_wait_min,start_time_pickup_rate_index,start_time_competition_ratio,start_time_estimated_competitors_equivalent,start_time_node_confidence,origin_dynamic_od_rows,origin_observed_trip_count_total,origin_mean_od_confidence,singleton_gain_over_wait_only,pair_synergy_with_best_anchor,state_coverage_count,selection_reason
186,Penn Station/Madison Sq West,0.5721152373605973,1.6039291065366066,40.70075379725266,0.2837019855521452,3.3520749115595905,0.995,1920,443608.0,0.9949999999999997,0.5721296149268653,0.0,61,singleton_gain
93,Flushing Meadows-Corona Park,0.17876899645992778,31.478530298487627,0.4369324080762766,5.5679029151283,0.0,0.7272727272727273,1920,1728.0,0.6637432864598635,0.3556517692468759,-3.8789938798799994e-06,87,singleton_gain|multi_state_coverage
216,South Ozone Park,0.10200619751802438,7.881569942378127,1.631060940063908,1.394087202986829,0.0,0.963302752293578,1920,8782.0,0.8635678979440444,0.2747897823205534,-1.9352933321670207e-05,95,singleton_gain|multi_state_coverage
134,Kew Gardens,0.09681930604079071,10.125968773803487,0.66081347710036,1.7910750762359244,0.0,0.904,1920,2924.0,0.7169546026402462,0.279600547221591,-1.6172592751217962e-05,60,singleton_gain
138,LaGuardia Airport,0.02995373737292987,12.86503061146419,17.47330961074893,1.8204469081767207,13.986310868391762,0.995,1920,286268.0,0.9949765881899515,0.07998710994766611,-1.7655538584904207e-05,106,multi_state_coverage
28,Briarwood/Jamaica Hills,0.018058643376998938,13.4581381430137,0.6305323272325761,2.3804671275356686,0.0,0.8983050847457628,1920,2473.0,0.7436325422321169,0.07196948367369771,8.946692005906698e-06,22,pair_synergy
219,Springfield Gardens South,0.001647151083846445,10.108849705808503,0.6875649756282741,1.7880470661068066,0.0,0.8867924528301887,1920,1908.0,0.7065605944944634,0.002287388286930536,4.263256414560601e-14,48,pair_synergy
237,Upper East Side South,4.397456888623551e-05,5.011429956434778,46.01961365117019,0.886418622432798,14.374938029001944,0.995,1920,788526.0,0.9949999999999997,0.00010055958532007025,-3.172878342638796e-05,94,multi_state_coverage
130,Jamaica,0.0,18.01845221716215,1.1164147483541427,3.1870926525072614,0.3410710531836152,0.9459459459459459,1920,10365.0,0.9080083240699355,0.0,0.0,68,pair_synergy
161,Midtown Center,0.0,32.49386123186429,22.88391904733619,5.747494020880765,48.57245933102387,0.995,1920,633918.0,0.9949999999999997,0.0,0.0,68,pair_synergy
