algorithm,scenario_id,start_zone,start_time,horizon_minutes,gross_revenue_2h,operating_cost_2h,net_earnings_2h,completed_trips,waiting_minutes,empty_minutes,occupied_minutes,unfinished_occupied_minutes,terminal_unused_minutes,accounted_minutes,time_accounting_error,empty_miles,occupied_miles,unfinished_trip_at_horizon,end_zone,wait_decisions,reposition_decisions,first_action,competition_scenario
wait_only,0,132,08:00,120,161.73701361196458,9.26948486445608,152.4675287475085,3,22.862931373061016,0.0,89.22340464566885,7.913663981270133,0.0,120.0,0.0,0.0,26.484242469874516,1,161,7,0,WAIT,low
wait_only,1,132,08:00,120,81.35330592056951,6.448945382500307,74.9043605380692,2,14.692626072900973,0.0,105.30737392709904,0.0,0.0,120.00000000000001,-1.4210854715202004e-14,0.0,18.425558235715165,0,236,5,0,WAIT,low
wait_only,2,132,08:00,120,126.12474051576514,8.88530958431427,117.23943093145087,5,30.479319162846103,0.0,88.19445720495376,1.32622363220014,0.0,120.0,0.0,0.0,25.386598812326483,1,164,9,0,WAIT,low
wait_only,3,132,08:00,120,149.9494056374016,10.258125601039987,139.69128003636163,7,36.204082499158126,0.0,83.79591750084188,0.0,0.0,120.0,0.0,0.0,29.30893028868568,0,162,12,0,WAIT,low
wait_only,4,132,08:00,120,98.93671194769098,6.4668181515889955,92.46989379610199,2,27.494496961783646,0.0,88.2440999375674,4.261403100648948,0.0,120.0,0.0,0.0,18.476623290254274,1,90,7,0,WAIT,low
wait_only,5,132,08:00,120,120.49307687376478,7.097856576447584,113.3952202973172,3,25.84621523786307,0.0,93.43619596214423,0.7175887999927113,0.0,120.0,0.0,0.0,20.27959021842167,1,237,7,0,WAIT,low
wait_only,6,132,08:00,120,142.52124231412134,8.212262670686846,134.3089796434345,4,47.039275327610156,0.0,57.38345260307244,15.577272069317388,0.0,119.99999999999999,1.4210854715202004e-14,0.0,23.463607630533847,1,170,12,0,WAIT,low
wait_only,7,132,08:00,120,137.48792860771502,9.185426024303563,128.30250258341147,3,17.187883360227982,0.0,102.81211663977203,0.0,0.0,120.00000000000001,-1.4210854715202004e-14,0.0,26.24407435515304,0,234,6,0,WAIT,low
wait_only,8,132,08:00,120,120.21570972799783,9.225909416239327,110.9898003117585,4,65.57735753181413,0.0,54.42264246818586,0.0,0.0,120.0,0.0,0.0,26.35974118925522,0,68,16,0,WAIT,low
wait_only,9,132,08:00,120,115.22262613051848,7.5080072451625774,107.7146188853559,4,15.252142323256988,0.0,89.0838325872382,15.664025089504804,0.0,120.0,0.0,0.0,21.45144927189308,1,158,5,0,WAIT,low
wait_only,10,132,08:00,120,113.26432895286462,8.057637261162926,105.20669169170169,3,52.12929550040839,0.0,67.87070449959162,0.0,0.0,120.00000000000001,-1.4210854715202004e-14,0.0,23.02182074617979,0,74,13,0,WAIT,low
wait_only,11,132,08:00,120,108.63979664356627,5.988518131438052,102.65127851212821,3,31.531751582276648,0.0,88.33051837860033,0.13773003912301363,0.0,119.99999999999999,1.4210854715202004e-14,0.0,17.11005180410872,1,90,9,0,WAIT,low
wait_only,12,132,08:00,120,110.51731203389375,7.780699896504335,102.73661213738941,3,27.5275109702625,0.0,92.47248902973749,0.0,0.0,119.99999999999999,1.4210854715202004e-14,0.0,22.230571132869528,0,236,7,0,WAIT,low
wait_only,13,132,08:00,120,86.78898955536776,6.1679957259622755,80.62099382940549,1,1.7504119457194902,0.0,118.24958805428051,0.0,0.0,120.0,0.0,0.0,17.622844931320788,0,230,2,0,WAIT,low
wait_only,14,132,08:00,120,125.44110016483272,7.936939604324045,117.50416056050868,5,41.22355813115796,0.0,74.95610708059344,3.8203347882486014,0.0,120.0,0.0,0.0,22.6769702980687,1,74,11,0,WAIT,low
wait_only,15,132,08:00,120,87.73240135414005,7.0600662804022205,80.67233507373783,2,11.51550588894642,0.0,108.48449411105358,0.0,0.0,120.0,0.0,0.0,20.171617944006346,0,233,5,0,WAIT,low
wait_only,16,132,08:00,120,145.7385151536356,7.218402942318501,138.5201122113171,6,32.81653848349748,0.0,87.18346151650252,0.0,0.0,120.0,0.0,0.0,20.624008406624284,0,140,11,0,WAIT,low
wait_only,17,132,08:00,120,111.85887199834937,8.178645803861723,103.68022619448764,3,33.431654022386766,0.0,86.56834597761322,0.0,0.0,119.99999999999999,1.4210854715202004e-14,0.0,23.36755943960493,0,237,9,0,WAIT,low
wait_only,18,132,08:00,120,148.0964749994405,10.71224719514197,137.38422780429852,3,16.216085493083245,0.0,100.2329720130771,3.5509424938396563,0.0,120.0,0.0,0.0,30.60642055754849,1,138,6,0,WAIT,low
wait_only,19,132,08:00,120,99.5855687067364,6.89281363124357,92.69275507549283,3,47.12378763853863,0.0,72.60738893322781,0.26882342823356,0.0,120.0,0.0,0.0,19.693753232124486,1,234,12,0,WAIT,low
wait_only,20,132,08:00,120,143.81362985898227,7.7181945407170485,136.09543531826523,6,41.92539001304354,0.0,78.07460998695645,0.0,0.0,119.99999999999999,1.4210854715202004e-14,0.0,22.051984402048706,0,162,13,0,WAIT,low
