origin,destination,trip_count,revenue_sum,revenue_sq_sum,duration_sum,duration_sq_sum,distance_sum,distance_sq_sum,avg_driver_revenue,avg_duration_min,avg_distance_miles,revenue_std,duration_std,distance_std
1,1,48,3582.25,378016.4025,185.91666666666666,2939.3325,83.16,706.587,74.63020833333333,3.873263888888889,1.7325,48.01743144810294,6.7995529703819,3.4233034119107817
1,6,4,372.44,34678.008400000006,148.28333333333333,5698.282499999999,59.519999999999996,886.2102,93.11,37.07083333333333,14.879999999999999,0.17320508076402905,7.093936916284362,0.3716853508009489
1,13,2,181.52,16485.894400000005,60.18333333333334,1840.023611111111,26.8,359.79280000000006,90.76,30.09166666666667,13.4,2.360000000000152,3.808333333333315,0.5800000000000224
1,17,1,122.7,15055.29,81.98333333333333,6721.266944444445,16.73,279.8929,122.7,81.98333333333333,16.73,0.0,0.0,0.0
1,33,1,96.1,9235.21,40.983333333333334,1679.6336111111111,14.59,212.8681,96.1,40.983333333333334,14.59,0.0,0.0,0.0
1,48,2,178.06,16453.3396,68.88333333333334,2539.5969444444445,31.560000000000002,498.1136,89.03,34.44166666666667,15.780000000000001,17.329999999999988,9.141666666666655,0.21999999999996972
1,50,2,294.08,49650.907400000004,130.18333333333334,8740.270277777778,32.2,522.4528,147.04,65.09166666666667,16.1,56.610000000000035,11.541666666666663,1.4199999999999915
1,61,1,136.54,18643.171599999998,33.55,1125.6024999999997,17.87,319.3369,136.54,33.55,17.87,0.0,0.0,0.0
1,68,5,445.72,40610.5472,191.31666666666666,7919.921944444443,80.7,1304.2410000000002,89.144,38.263333333333335,16.14,13.246007096480028,10.949963977617035,0.5904235767650003
1,70,1,142.85999999999999,20408.979599999995,36.516666666666666,1333.4669444444444,31.67,1002.9889000000001,142.85999999999999,36.516666666666666,31.67,0.0,0.0,0.0
1,79,2,177.89999999999998,15825.649999999998,87.16666666666666,3954.4811111111107,27.58,381.2804,88.94999999999999,43.58333333333333,13.79,0.8500000000004494,8.816666666666675,0.6900000000000017
1,87,3,257.65999999999997,22424.5396,120.43333333333334,4928.678333333333,41.29,570.1003,85.88666666666666,40.144444444444446,13.763333333333334,9.915998296804236,5.596102038445263,0.7772315542287687
1,89,1,136.77,18706.032900000002,37.3,1391.2899999999997,23.66,559.7956,136.77,37.3,23.66,0.0,0.0,0.0
1,100,2,189.51,19134.6005,93.95,4825.624722222223,30.57,468.49490000000003,94.755,46.975,15.285,24.265000000000015,14.358333333333336,0.785000000000009
1,107,2,147.7,11009.89,76.66666666666666,3307.9027777777774,29.759999999999998,444.37760000000003,73.85,38.33333333333333,14.879999999999999,7.150000000000028,13.583333333333337,0.8800000000000242
1,108,1,136.0,18496.0,38.63333333333333,1492.5344444444445,19.69,387.69610000000006,136.0,38.63333333333333,19.69,0.0,0.0,0.0
1,113,1,100.3,10060.09,21.283333333333335,452.98027777777787,14.01,196.2801,100.3,21.283333333333335,14.01,0.0,0.0,0.0
1,125,5,360.04,27029.445600000003,148.31666666666666,4864.023055555555,63.73,812.6170999999999,72.00800000000001,29.663333333333334,12.745999999999999,14.857222351435649,9.638011551490616,0.2508066984752034
1,129,1,149.7,22410.089999999997,74.95,5617.5025000000005,33.34,1111.5556000000001,149.7,74.95,33.34,0.0,0.0,0.0
1,132,7,1037.18,169399.426,491.06666666666666,36368.31055555556,231.10999999999999,7955.2171,148.16857142857143,70.15238095238095,33.01571428571428,47.39190269250991,16.556460467743563,6.813383588083648
1,138,5,855.03,148031.5185,337.6,25122.637222222223,140.99,4015.3577,171.006,67.52000000000001,28.198,19.059162206141156,21.57723440212956,2.8185698501190317
1,140,2,205.5,21131.370000000003,120.11666666666667,7237.468055555555,40.71,828.9041,102.75,60.05833333333334,20.355,2.8500000000002297,3.4249999999998884,0.35499999999995785
1,144,1,72.0,5184.0,25.333333333333332,641.7777777777777,13.04,170.0416,72.0,25.333333333333332,13.04,0.0,0.0,0.0
1,146,1,173.32,30039.822399999997,102.06666666666666,10417.604444444443,23.06,531.7636,173.32,102.06666666666666,23.06,0.0,0.0,0.0
1,148,1,147.66,21803.475599999998,34.6,1197.16,13.11,171.8721,147.66,34.6,13.11,0.0,0.0,0.0
1,161,2,171.17000000000002,15651.7609,75.73333333333333,3027.973888888889,31.67,501.5425,85.58500000000001,37.86666666666667,15.835,22.38499999999997,8.95000000000001,0.15499999999998268
1,163,6,651.11,71727.7805,341.98333333333335,20619.74472222222,104.47,1828.9631,108.51833333333333,56.99722222222223,17.411666666666665,13.35669921383599,13.709149474748136,1.2888162096366715
1,164,4,392.45,38728.0925,206.23333333333332,11105.355,62.02,964.2906,98.1125,51.55833333333333,15.505,7.480673014508759,10.86632476455997,0.8170832270950046
1,166,1,148.8,22141.440000000002,41.1,1689.21,25.85,668.2225000000001,148.8,41.1,25.85,0.0,0.0,0.0
1,185,1,114.09,13016.528100000001,68.5,4692.25,26.76,716.0976,114.09,68.5,26.76,0.0,0.0,0.0
1,186,1,111.35,12398.822499999998,48.88333333333333,2389.5802777777776,16.4,268.96,111.35,48.88333333333333,16.4,0.0,0.0,0.0
1,230,4,392.46000000000004,38989.1476,163.31666666666666,6760.830277777778,68.74,1183.3636,98.11500000000001,40.829166666666666,17.185,10.987887649589327,4.815258949423196,0.7188010851410984
1,231,3,270.54,25285.118000000002,103.03333333333333,3719.938888888889,38.71,501.2241,90.18,34.34444444444444,12.903333333333334,17.202914481757634,7.774237289412961,0.7607160369604922
1,233,1,107.4,11534.760000000002,34.65,1200.6225,17.1,292.41,107.4,34.65,17.1,0.0,0.0,0.0
1,237,1,130.8,17108.640000000003,74.7,5580.09,22.72,516.1984,130.8,74.7,22.72,0.0,0.0,0.0
1,239,1,98.6,9721.96,65.03333333333333,4229.334444444444,17.89,320.0521,98.6,65.03333333333333,17.89,0.0,0.0,0.0
1,262,1,108.1,11685.609999999999,41.733333333333334,1741.6711111111113,28.5,812.25,108.1,41.733333333333334,28.5,0.0,0.0,0.0
2,21,1,70.9,5026.81,57.6,3317.76,16.95,287.30249999999995,70.9,57.6,16.95,0.0,0.0,0.0
2,28,1,40.1,1608.0100000000002,32.65,1066.0224999999998,7.68,58.9824,40.1,32.65,7.68,0.0,0.0,0.0
2,29,1,59.0,3481.0,24.116666666666667,581.6136111111111,16.68,278.2224,59.0,24.116666666666667,16.68,0.0,0.0,0.0
2,42,1,57.4,3294.7599999999998,24.35,592.9225,11.53,132.9409,57.4,24.35,11.53,0.0,0.0,0.0
2,49,1,66.7,4448.89,30.266666666666666,916.071111111111,18.4,338.55999999999995,66.7,30.266666666666666,18.4,0.0,0.0,0.0
2,61,1,55.75,3108.0625,36.43333333333333,1327.3877777777775,12.53,157.00089999999997,55.75,36.43333333333333,12.53,0.0,0.0,0.0
2,76,1,15.6,243.35999999999999,10.566666666666666,111.65444444444444,3.42,11.696399999999999,15.6,10.566666666666666,3.42,0.0,0.0,0.0
2,92,1,41.5,1722.25,29.116666666666667,847.7802777777778,11.72,137.35840000000002,41.5,29.116666666666667,11.72,0.0,0.0,0.0
2,124,1,7.9,62.410000000000004,2.2,4.840000000000001,1.48,2.1904,7.9,2.2,1.48,0.0,0.0,0.0
2,132,2,64.58,3640.9924,32.38333333333333,950.1736111111112,24.389999999999997,575.6800999999999,32.29,16.191666666666666,12.194999999999999,27.89,14.591666666666669,11.795
2,136,1,70.0,4900.0,42.0,1764.0,20.4,416.15999999999997,70.0,42.0,20.4,0.0,0.0,0.0
2,158,1,70.0,4900.0,95.03333333333333,9031.334444444445,20.16,406.42560000000003,70.0,95.03333333333333,20.16,0.0,0.0,0.0
