zone_id,borough,zone_name,service_zone,centroid_x,centroid_y,area_sqft,pickup_count,avg_driver_income_per_trip,median_driver_income_per_trip,avg_trip_distance_miles,avg_trip_duration_min,avg_fare,avg_tip,avg_total_amount,dropoff_count,pickup_rate_per_hour,dropoff_rate_per_hour,expected_pickups_2h,expected_income_2h_proxy,income_score,demand_score,opportunity_score
1,EWR,Newark Airport,EWR,935996.8210162065,191376.74953083202,79039526.6992143,128.0,67.7873984375,67.025,12.51,31.657682291666667,84.487578125,12.3515625,110.951171875,40650.0,0.0008310973259174803,0.2639383304573873,0.0016621946518349607,0.11267585114461807,1.0,0.00012770869646336707,0.0002068390746372749
2,Queens,Jamaica Bay,Boro Zone,1031085.7186032843,164018.75440320166,143909531.69680512,25.0,44.244479999999996,49.0,14.9836,38.83133333333333,54.9968,8.2096,69.9976,41.0,0.00016232369646825787,0.0002662108622079429,0.00032464739293651575,0.014363855083831811,0.6526947636262131,2.4943104778001378e-05,2.6367730650203284e-05
3,Bronx,Allerton/Pelham Gardens,Boro Zone,1026452.6168734727,254265.47865856893,31685084.722049594,1947.0,21.336194144838213,19.95,7.637832562917309,30.286414997431947,30.403667180277353,0.07661016949152542,33.33823317925013,2897.0,0.012641769480947923,0.018810069946741722,0.025283538961895845,0.5394544959595909,0.3147516298993269,0.0019425690001107472,0.0009902766885691188
4,Manhattan,Alphabet City,Yellow Zone,990633.9806410479,202959.7823911368,8023733.019955133,60627.0,13.495941115344646,11.941999999999998,2.986267999406205,15.039522544960716,18.001898164184276,1.278017714879509,24.375295495406338,98051.0,0.3936479498312428,0.6366400304963661,0.7872958996624856,10.625299102197193,0.1990921827128077,0.06048902453503558,0.01950486294726968
5,Staten Island,Arden Heights,Boro Zone,931871.3700680139,140681.35137597343,50414884.76735331,5.0,40.5244,31.877999999999997,17.830000000000002,32.67333333333333,57.89200000000001,0.0,72.054,56.0,3.246473929365157e-05,0.0003636050800888976,6.492947858730314e-05,0.0026312281620633074,0.5978161270986599,4.988620955600275e-06,4.830145880168997e-06
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,964319.735448061,157998.9356119239,40934792.09258352,257.0,23.114708171206225,20.069,7.905175097276264,22.412710765239947,32.44070038910506,0.5803112840466925,41.46894941634241,478.0,0.0016686875996936908,0.0031036290764730906,0.0033373751993873817,0.07714245379166051,0.3409882766413877,0.00025641511711785417,0.0001416104124834733
7,Queens,Astoria,Boro Zone,1006496.6791586807,216719.21816867893,39341043.986175336,34946.0,17.799790333657644,17.205999999999996,5.11015252103245,20.53798336481047,24.93001516625651,0.4982567389686946,28.68172151319178,56036.0,0.22690255587118957,0.3638388262118119,0.45380511174237914,8.077635841356427,0.2625825853173736,0.03486646958288144,0.01482811716717041
8,Queens,Astoria Park,Boro Zone,1005551.5711778702,222936.08755158543,2682801.558287652,192.0,30.556859375,23.302999999999997,5.80203125,20.379079861111112,39.1075,4.545156250000001,49.21541666666667,321.0,0.0012466459888762205,0.002084236262652431,0.002493291977752441,0.07618717234499696,0.450774923943621,0.0001915630446950506,0.00013985680220727982
9,Queens,Auburndale,Boro Zone,1043002.6774243254,212969.8490136597,34164217.96628959,765.0,19.045261437908493,16.919,6.779516339869281,24.045315904139436,26.581856209150324,0.6256601307189542,29.49942483660131,2650.0,0.004967105111928691,0.017206311825635333,0.009934210223857381,0.18919963089250727,0.28095578052708764,0.0007632590062068421,0.00034731378709793216
10,Queens,Baisley Park,Boro Zone,1042223.6050722591,186706.49646915717,44041425.36286887,9653.0,34.52952066715011,29.54,9.424903138920543,32.64941468973376,44.99656376256086,4.331322904796436,53.906231223453844,21974.0,0.06267642568032374,0.14267603624773995,0.12535285136064747,4.328373871743673,0.5093796408042762,0.009631031616881893,0.007945596480709458
11,Brooklyn,Bath Beach,Boro Zone,982170.7832338787,159429.3168836981,20535743.772917036,1352.0,19.728423076923075,15.022,6.7779363905325445,27.638769723865877,28.116153846153846,0.0673076923076923,30.27866124260355,2440.0,0.008778465505003386,0.01584279277530197,0.01755693101000677,0.3463705628977639,0.2910337840315953,0.0013489231063943145,0.0006358324874725166
12,Manhattan,Battery Park,Yellow Zone,979934.7305677243,195378.9728508775,1089567.142383053,7171.0,19.306233300794865,18.9,4.323501603681495,20.615850880862734,24.224113791660855,3.3562194951889555,32.92091340119927,10876.0,0.046560929094955086,0.0706173009115509,0.09312185818991017,1.7978323196179409,0.28480563859660757,0.007154680174521915,0.003300281023530766
