origin,destination,trip_count,avg_distance_miles,avg_duration_min,avg_driver_income,avg_total_amount,edge_source
1,1,48,1.7325,3.873263888888889,52.24114583333333,79.32895833333333,historical_od
1,68,5,16.14,38.263333333333335,62.400800000000004,109.018,historical_od
1,125,5,12.745999999999999,29.663333333333334,50.4056,91.20599999999999,historical_od
1,132,7,33.01571428571428,70.15238095238095,103.71799999999999,176.55285714285716,historical_od
1,138,5,28.198,67.52000000000001,119.70419999999999,199.01,historical_od
1,163,6,17.411666666666665,56.99722222222223,75.96283333333334,125.78666666666668,historical_od
3,3,48,2.555833333333333,6.527777777777778,6.49425,10.694166666666668,historical_od
3,18,35,2.996,17.514761904761905,12.740999999999998,19.744285714285713,historical_od
3,20,31,2.4358064516129034,14.826881720430107,11.203387096774192,17.375806451612902,historical_od
3,31,5,1.666,7.783333333333333,9.401,14.930000000000001,historical_od
3,32,43,1.2958139534883721,9.633333333333333,7.013348837209302,11.46093023255814,historical_od
3,35,6,17.716666666666665,73.37222222222222,34.88333333333333,57.27333333333333,historical_od
3,37,5,14.648,38.39,37.3142,60.158,historical_od
3,41,19,9.577894736842106,40.01929824561404,23.990105263157897,37.176842105263155,historical_od
3,42,57,9.37157894736842,38.521929824561404,25.636333333333333,39.83631578947369,historical_od
3,45,9,14.100000000000001,68.04444444444444,35.73888888888889,54.64,historical_od
3,47,18,4.080555555555556,24.20462962962963,16.794555555555554,25.436666666666667,historical_od
3,48,10,18.505000000000003,42.089999999999996,34.5464,53.521,historical_od
3,50,10,13.969999999999999,46.845,36.154999999999994,57.172000000000004,historical_od
3,51,73,1.7758904109589042,9.810502283105022,8.684794520547946,13.838356164383562,historical_od
3,58,7,3.1557142857142857,12.052380952380954,10.414,16.377142857142857,historical_od
3,60,9,4.716666666666667,17.625925925925927,15.008777777777778,22.941111111111113,historical_od
3,61,9,17.825555555555557,66.66481481481482,38.605777777777774,60.78888888888889,historical_od
3,69,35,6.8914285714285715,28.625238095238096,23.4108,34.98685714285714,historical_od
3,74,25,8.666,36.67733333333334,25.71296,39.9336,historical_od
3,75,38,9.12657894736842,42.78201754385965,26.282052631578946,41.153684210526315,historical_od
3,76,9,17.615555555555556,55.51481481481481,38.568444444444445,62.21111111111111,historical_od
3,78,37,3.734594594594595,17.287387387387387,13.717162162162161,21.014864864864865,historical_od
3,81,52,1.2432692307692308,7.915384615384616,7.706730769230769,12.39423076923077,historical_od
3,87,10,17.054,64.19666666666667,38.9445,62.693,historical_od
3,88,15,17.434,41.824444444444445,37.91153333333333,60.16466666666667,historical_od
3,90,9,15.23777777777778,40.762962962962966,38.373999999999995,63.724444444444444,historical_od
3,92,6,8.208333333333334,16.5,21.623,39.33,historical_od
3,94,14,3.8757142857142854,21.809523809523807,16.7635,25.447857142857142,historical_od
3,97,6,17.746666666666666,45.36111111111111,41.08183333333333,66.47166666666666,historical_od
3,100,41,13.487804878048781,59.232520325203254,33.51480487804878,50.652682926829264,historical_od
3,116,22,8.789090909090909,38.45909090909091,25.437045454545455,38.78181818181818,historical_od
3,119,17,8.487647058823528,28.184313725490195,21.825176470588232,32.4435294117647,historical_od
3,126,26,6.0407692307692304,20.309615384615384,17.501615384615384,26.56,historical_od
3,127,10,5.506,25.456666666666667,19.5062,29.901999999999997,historical_od
3,129,5,11.412,25.236666666666668,26.053999999999995,45.660000000000004,historical_od
3,130,6,13.406666666666666,40.93055555555555,30.468666666666664,51.46666666666667,historical_od
3,136,14,3.8242857142857143,19.007142857142856,15.5655,23.736428571428572,historical_od
3,137,16,14.0825,60.503125,32.454625,51.130624999999995,historical_od
3,140,13,11.943076923076923,44.15128205128205,31.277076923076923,50.53846153846154,historical_od
