scenario_id,algorithm,baseline,algorithm_net_earnings,baseline_net_earnings,paired_difference
0,dqn,wait_only,156.66377815350884,156.66377815350884,0.0
1,dqn,wait_only,66.52172915741481,74.76608732058871,-8.2443581631739
2,dqn,wait_only,108.2588506402088,117.98849030240301,-9.729639662194202
3,dqn,wait_only,112.06787795451072,130.53964903629594,-18.47177108178522
4,dqn,wait_only,96.72099316188229,77.65179742106105,19.069195740821243
5,dqn,wait_only,95.06283715241402,108.27519559535108,-13.21235844293706
6,dqn,wait_only,75.23453996188061,128.99710591827227,-53.762565956391654
7,dqn,wait_only,129.31700087408177,129.31700087408177,0.0
8,dqn,wait_only,144.15091965524564,91.64224062421586,52.508679031029786
9,dqn,wait_only,125.05968789105933,125.05968789105933,0.0
10,dqn,wait_only,98.26711270047664,105.2411457240903,-6.974033023613657
11,dqn,wait_only,98.87187638928829,102.66075589290598,-3.788879503617693
12,dqn,wait_only,83.70625603798534,83.70625603798534,0.0
13,dqn,wait_only,80.61241419552663,80.61241419552663,0.0
14,dqn,wait_only,108.11514589030115,107.05374193606374,1.0614039542374059
15,dqn,wait_only,80.65541603585814,80.65541603585814,0.0
16,dqn,wait_only,102.09724367617369,142.83536536363337,-40.73812168745968
17,dqn,wait_only,89.20542478592498,103.7313261699077,-14.525901383982728
18,dqn,wait_only,117.40196611285613,115.5673626011019,1.8346035117542243
19,dqn,wait_only,110.10755668214613,92.62871968599153,17.478836996154598
20,dqn,wait_only,137.11924295940676,145.1798754643174,-8.060632504910643
21,dqn,wait_only,104.2406655745758,91.36201125200833,12.87865432256747
22,dqn,wait_only,97.61254851970338,97.61254851970338,0.0
23,dqn,wait_only,94.26035472440836,82.62523337027636,11.635121354131996
24,dqn,wait_only,101.9932359403505,100.09133642081723,1.9018995195332735
25,dqn,wait_only,105.4123264622131,104.76636453620044,0.6459619260126601
26,dqn,wait_only,94.33510709238581,111.8212548697415,-17.486147777355683
27,dqn,wait_only,118.19699026766071,111.39427787501549,6.802712392645219
28,dqn,wait_only,119.50589311745355,127.3538750655296,-7.847981948076054
29,dqn,wait_only,64.55722650259234,57.81747209742305,6.739754405169293
30,dqn,wait_only,104.6906830283076,109.11276007258573,-4.422077044278126
31,dqn,wait_only,96.86679226356193,96.86679226356193,0.0
32,dqn,wait_only,90.35920140924001,90.35920140924001,0.0
33,dqn,wait_only,77.60624423425055,77.88971093186021,-0.28346669760965426
34,dqn,wait_only,96.29858620945443,112.82076120482826,-16.52217499537383
35,dqn,wait_only,97.20924516087972,96.56822028448782,0.6410248763918958
36,dqn,wait_only,110.79187699140684,71.72845249891793,39.063424492488906
37,dqn,wait_only,123.06508998718499,123.06508998718499,0.0
38,dqn,wait_only,90.64678458881906,113.22912681259513,-22.582342223776067
39,dqn,wait_only,79.27992981714702,79.27992981714702,0.0
40,dqn,wait_only,129.18336647801513,78.6411276467918,50.54223883122333
41,dqn,wait_only,111.70412131918188,111.70412131918188,0.0
42,dqn,wait_only,75.24610480154321,75.24610480154321,0.0
43,dqn,wait_only,75.02182212892247,98.31343451128132,-23.29161238235885
44,dqn,wait_only,117.6212196044867,60.42786784570451,57.193351758782185
45,dqn,wait_only,128.1396535734197,128.1396535734197,0.0
46,dqn,wait_only,107.16327015000775,138.83996146062557,-31.676691310617827
47,dqn,wait_only,88.91741099909618,86.33471955892705,2.5826914401691283
48,dqn,wait_only,99.20603663003892,101.81385003524005,-2.607813405201128
49,dqn,wait_only,86.26355626292874,86.26355626292874,0.0
50,dqn,wait_only,55.00495730427166,78.46075169940968,-23.45579439513802
51,dqn,wait_only,92.09292788718359,82.62810106970763,9.464826817475966
52,dqn,wait_only,88.60366685673247,93.80548962528593,-5.2018227685534555
53,dqn,wait_only,116.80443487924703,116.80443487924703,0.0
54,dqn,wait_only,67.3208731549188,67.64208030344938,-0.32120714853057564
55,dqn,wait_only,89.05893656191503,74.06537969817865,14.993556863736387
56,dqn,wait_only,85.53719459847551,110.39684348436784,-24.859648885892327
57,dqn,wait_only,122.71492043160701,100.89384821276579,21.821072218841223
58,dqn,wait_only,82.92413677532106,88.90291945879248,-5.978782683471422
59,dqn,wait_only,127.13438833121349,114.12443919625001,13.009949134963477
60,dqn,wait_only,131.1978041057152,128.80268098100112,2.3951231247140754
61,dqn,wait_only,74.60418054792724,67.0776636792826,7.526516868644649
62,dqn,wait_only,138.1649425329752,138.44840923058484,-0.28346669760964005
63,dqn,wait_only,105.51450770609351,112.65652362191776,-7.1420159158242456
64,dqn,wait_only,90.07762313939364,80.91276220842582,9.16486093096782
65,dqn,wait_only,67.22465912702508,80.98716963190529,-13.762510504880211
66,dqn,wait_only,105.56798535900008,105.56798535900008,0.0
67,dqn,wait_only,101.47644104215092,101.47644104215092,0.0
68,dqn,wait_only,93.33821859355977,93.33821859355977,0.0
69,dqn,wait_only,77.29774218371628,89.0832636798051,-11.785521496088819
70,dqn,wait_only,115.03352242013376,128.05327531925312,-13.019752899119354
71,dqn,wait_only,79.5970289036334,93.51775037555065,-13.920721471917247
72,dqn,wait_only,120.35435613884032,136.14374003408284,-15.789383895242523
73,dqn,wait_only,85.60931333647129,85.60931333647129,0.0
74,dqn,wait_only,102.77838222755878,110.17137562674364,-7.39299339918486
75,dqn,wait_only,97.32599648121293,113.59759793291606,-16.271601451703134
76,dqn,wait_only,72.28671515516055,72.28671515516055,0.0
77,dqn,wait_only,101.13645165697267,96.13893020070586,4.99752145626681
78,dqn,wait_only,118.86742056634586,122.5460648514327,-3.678644285086847
79,dqn,wait_only,108.56795343109357,88.18105913501986,20.386894296073706
80,dqn,wait_only,97.08314627004523,123.89320949370082,-26.81006322365559
81,dqn,wait_only,89.9808199355036,142.66438429390638,-52.683564358402776
82,dqn,wait_only,130.20204642467277,133.2483716006256,-3.0463251759528305
83,dqn,wait_only,105.05901474232788,129.80694340782458,-24.7479286654967
84,dqn,wait_only,80.36149648674785,80.36149648674785,0.0
85,dqn,wait_only,100.30565478346026,98.92751300982975,1.378141773630503
86,dqn,wait_only,107.69965362473035,100.77433311669341,6.925320508036933
87,dqn,wait_only,47.79019412366884,92.61520260716826,-44.82500848349942
88,dqn,wait_only,79.15052921204864,79.15052921204864,0.0
89,dqn,wait_only,114.16925458502104,116.68433969144937,-2.51508510642833
90,dqn,wait_only,81.81352224430097,86.57636735541149,-4.762845111110522
91,dqn,wait_only,93.05927215051318,94.98060229661388,-1.9213301461007006
92,dqn,wait_only,86.32011343220923,86.32011343220923,0.0
93,dqn,wait_only,76.66359081532714,76.66359081532714,0.0
94,dqn,wait_only,104.8540599293411,104.8540599293411,0.0
95,dqn,wait_only,177.9270080650049,180.65969557863477,-2.7326875136298554
96,dqn,wait_only,141.20666383849348,152.76297444043345,-11.55631060193997
97,dqn,wait_only,114.05597593190849,108.27791684156732,5.7780590903411735
98,dqn,wait_only,133.3242551829542,133.3242551829542,0.0
99,dqn,wait_only,106.4844727086207,98.09280259432197,8.391670114298734
100,dqn,wait_only,97.34199825842802,97.647838391712,-0.3058401332839793
101,dqn,wait_only,130.92516718689694,148.7642276600258,-17.839060473128853
102,dqn,wait_only,108.93639298147352,124.35247989619273,-15.416086914719216
103,dqn,wait_only,87.38624080196375,83.67811049572234,3.708130306241415
104,dqn,wait_only,129.29676494645256,129.29676494645256,0.0
