origin,destination,duration_min,distance_miles,confidence,edge_source
2,30,4.10831272288599,1.0270781807214975,0.2,spatial_fallback
30,2,4.10831272288599,1.0270781807214975,0.2,spatial_fallback
2,86,16.478748531312718,4.119687132828179,0.2,spatial_fallback
86,2,16.478748531312718,4.119687132828179,0.2,spatial_fallback
2,132,16.191666666666666,12.194999999999999,0.2,historical_adjacency
132,2,23.24137931034483,8.659310344827587,0.7435897435897436,historical_adjacency
3,32,9.633333333333333,1.2958139534883721,0.8113207547169812,historical_adjacency
32,3,8.928947368421053,1.3363157894736843,0.7916666666666666,historical_adjacency
3,51,9.810502283105022,1.7758904109589042,0.8795180722891566,historical_adjacency
51,3,10.30925925925926,2.4842857142857144,0.863013698630137,historical_adjacency
3,81,7.915384615384616,1.2432692307692308,0.8387096774193549,historical_adjacency
81,3,7.867272727272727,2.117272727272727,0.8461538461538461,historical_adjacency
3,184,5.477777777777778,1.4366666666666668,0.23076923076923078,historical_adjacency
184,3,17.166666666666668,4.51,0.2,historical_adjacency
3,185,9.68640350877193,1.982894736842105,0.7916666666666666,historical_adjacency
185,3,9.329032258064515,1.4196774193548387,0.7560975609756098,historical_adjacency
3,242,13.075706214689266,2.43271186440678,0.855072463768116,historical_adjacency
242,3,12.265686274509804,2.1245098039215686,0.8360655737704918,historical_adjacency
3,254,11.022435897435896,1.8659615384615384,0.8387096774193549,historical_adjacency
254,3,10.672427983539094,2.0046913580246914,0.8901098901098901,historical_adjacency
4,79,5.926329631794273,0.7579777907656342,0.99,historical_adjacency
79,4,5.980900890700483,0.8198233695652174,0.99,historical_adjacency
4,148,7.900548744892002,0.9867670753064798,0.99,historical_adjacency
148,4,7.205053247024431,0.9797619544790144,0.99,historical_adjacency
4,224,5.5334425036390105,0.8249563318777292,0.9786324786324786,historical_adjacency
224,4,5.926439790575916,0.926369982547993,0.9828473413379074,historical_adjacency
4,232,7.3919524250849555,1.1909360518999073,0.99,historical_adjacency
232,4,7.346328437917222,1.0516822429906543,0.9868247694334651,historical_adjacency
5,84,6.618842455748128,1.654710613937032,0.2,spatial_fallback
84,5,6.618842455748128,1.654710613937032,0.2,spatial_fallback
5,99,6.669642836223675,1.6674107090559187,0.2,spatial_fallback
99,5,8.183333333333334,2.8,0.2,historical_adjacency
5,204,5.306201843204709,1.3265504608011773,0.2,spatial_fallback
204,5,5.306201843204709,1.3265504608011773,0.2,spatial_fallback
6,115,13.833333333333334,1.71,0.2,historical_adjacency
115,6,8.255555555555555,1.7916666666666667,0.5454545454545454,historical_adjacency
6,118,13.428320888790829,3.357080222197707,0.2,spatial_fallback
118,6,12.363333333333333,4.366,0.3333333333333333,historical_adjacency
6,214,6.5590909090909095,1.5545454545454547,0.6875,historical_adjacency
214,6,6.046875,1.518125,0.6153846153846154,historical_adjacency
6,221,6.816666666666666,1.5144444444444443,0.47368421052631576,historical_adjacency
221,6,7.596078431372549,1.6141176470588237,0.6296296296296297,historical_adjacency
7,146,7.312522281639929,1.1720588235294118,0.9868073878627969,historical_adjacency
146,7,8.47445046672689,1.3604155374887081,0.99,historical_adjacency
7,179,8.343946325099115,1.1913266239707228,0.99,historical_adjacency
179,7,8.607825953259532,1.1265129151291513,0.99,historical_adjacency
7,193,8.249592326139089,1.2575971223021583,0.9858156028368794,historical_adjacency
193,7,9.525149700598803,1.445449101796407,0.9804305283757339,historical_adjacency
7,207,8.649999999999999,1.6566666666666667,0.47368421052631576,historical_adjacency
207,7,8.307575757575757,1.0554545454545454,0.5238095238095238,historical_adjacency
7,223,10.032361733931241,1.5475504484304932,0.99,historical_adjacency
223,7,9.919871794871794,1.4499660633484164,0.9888143176733781,historical_adjacency
7,226,11.169735939643347,1.819804526748971,0.9898167006109979,historical_adjacency
226,7,10.193794091710759,1.6672354497354498,0.99,historical_adjacency
7,260,10.556303030303031,1.8770787878787878,0.9880239520958084,historical_adjacency
260,7,10.643799472295514,1.7675725593667546,0.9869791666666666,historical_adjacency
8,179,5.326666666666666,0.686,0.3333333333333333,historical_adjacency
179,8,6.891666666666667,1.7175,0.2857142857142857,historical_adjacency
8,223,4.026190476190476,0.8028571428571428,0.4117647058823529,historical_adjacency
223,8,5.127777777777777,0.948888888888889,0.47368421052631576,historical_adjacency
9,16,8.20925925925926,1.3172222222222223,0.782608695652174,historical_adjacency
16,9,6.5180952380952375,1.24,0.7777777777777778,historical_adjacency
9,73,7.05,1.2657142857142856,0.5833333333333334,historical_adjacency
73,9,7.447619047619048,1.572142857142857,0.5833333333333334,historical_adjacency
9,98,8.856481481481481,1.771111111111111,0.6428571428571429,historical_adjacency
98,9,8.449099099099099,1.0124324324324325,0.7872340425531915,historical_adjacency
9,121,10.528571428571428,2.4442857142857144,0.4117647058823529,historical_adjacency
121,9,13.139999999999999,2.1633333333333336,0.6,historical_adjacency
9,171,8.167460317460318,1.5657142857142858,0.6774193548387096,historical_adjacency
171,9,11.15576923076923,1.9646153846153847,0.7222222222222222,historical_adjacency
9,192,7.873333333333333,2.452,0.3333333333333333,historical_adjacency
192,9,10.918333333333333,2.1100000000000003,0.5,historical_adjacency
10,205,11.457301587301588,2.3912857142857145,0.9545454545454546,historical_adjacency
205,10,11.178256070640176,2.155430463576159,0.937888198757764,historical_adjacency
10,215,8.36677927927928,1.5095945945945948,0.9367088607594937,historical_adjacency
215,10,8.525803212851406,1.6682530120481929,0.9431818181818182,historical_adjacency
10,216,10.564364364364364,2.0412612612612615,0.9708454810495627,historical_adjacency
216,10,10.808790252393385,2.016396866840731,0.9745547073791349,historical_adjacency
10,218,10.064907407407407,1.458,0.9473684210526315,historical_adjacency
218,10,9.943775100401608,1.371566265060241,0.9431818181818182,historical_adjacency
10,219,11.22968253968254,2.4034285714285715,0.9130434782608695,historical_adjacency
219,10,9.605673758865247,2.218510638297872,0.9038461538461539,historical_adjacency
11,14,12.663257575757575,2.990378787878788,0.9295774647887324,historical_adjacency
14,11,13.285201149425287,2.7498275862068966,0.9206349206349206,historical_adjacency
11,22,9.858781362007168,1.1678494623655913,0.9029126213592233,historical_adjacency
22,11,8.156089743589744,1.1315384615384614,0.9122807017543859,historical_adjacency
11,67,12.466666666666665,2.68156862745098,0.8360655737704918,historical_adjacency
67,11,11.148484848484848,1.8599999999999999,0.7674418604651163,historical_adjacency
12,13,8.237834549878345,1.131131386861314,0.9647887323943662,historical_adjacency
13,12,6.169766728054021,0.8383609576427257,0.9819168173598554,historical_adjacency
12,88,4.905797101449275,0.6914492753623188,0.9324324324324325,historical_adjacency
88,12,7.155555555555555,1.0851515151515152,0.7674418604651163,historical_adjacency
12,261,7.6902474526928675,0.907816593886463,0.9581589958158996,historical_adjacency
261,12,8.393355855855855,0.9679729729729729,0.9673202614379085,historical_adjacency
13,231,6.755999335253712,0.877683359184578,0.99,historical_adjacency
231,13,6.941399807442757,0.8923219892000502,0.99,historical_adjacency
13,261,7.4314233888177545,0.83449423815621,0.99,historical_adjacency
261,13,7.426568514241725,0.8310450346420323,0.99,historical_adjacency
14,67,10.08527653213752,1.5406278026905829,0.9570815450643777,historical_adjacency
67,14,10.92089093701997,1.5200460829493088,0.9559471365638766,historical_adjacency
