episode,epsilon,episode_net_reward,replay_size,global_step
1,1.0,-13.117431979066327,5,5
32,0.9813848398676378,-7.650137398421782,203,203
64,0.9625438261884816,-8.647137228374243,403,403
96,0.944075935751974,-8.470219901884933,628,628
128,0.9259737793084402,33.987481194795464,829,829
160,0.9082301139432614,-7.4231935250611825,1041,1041
192,0.8908378401788887,-8.563914695077678,1233,1233
224,0.8737899991342466,43.655190052429134,1464,1464
256,0.8570797697403923,-7.479993990340786,1672,1672
288,0.8407004660113145,58.951179286731644,1886,1886
320,0.8246455343687812,22.145379104447183,2086,2086
352,0.8089085510201653,1.6428948149587463,2283,2283
384,0.7934832193881999,31.250558799001972,2483,2483
416,0.7783633675916329,39.49530569498605,2712,2712
448,0.7635429459757755,-8.016654293316964,2903,2903
480,0.7490160246919543,-7.848864026825407,3106,3106
512,0.7347767913248993,-9.734703518076373,3312,3312
544,0.7208195485671193,-8.29024507906704,3528,3528
576,0.7071387119393333,-8.727537318702726,3726,3726
608,0.6937288075560448,7.218627985351931,3934,3934
640,0.6805844699353685,47.014404925768666,4158,4158
672,0.6677004398522274,48.979712054782546,4375,4375
704,0.6550715622340689,-8.130840568343814,4571,4571
736,0.6426927840982495,100.93213183464371,4782,4782
768,0.6305591525302697,79.38995559932845,5018,5018
800,0.6186658127020468,-12.964286188721497,5224,5224
832,0.6070080059294333,-8.181162813040293,5436,5436
864,0.5955810677682033,97.77859617322548,5631,5631
896,0.5843804261477472,135.83182768779642,5847,5847
928,0.5734015995417239,81.80761676582203,6071,6071
960,0.5626401951749427,10.295572175796396,6262,6262
992,0.5520919072657557,79.59022283555541,6471,6471
1024,0.5417525153032569,67.95483650552329,6679,6679
1056,0.5316178823585983,48.49732934620771,6892,6892
1088,0.521683953429751,32.9080118963618,7103,7103
1120,0.5119467538190443,28.384298054976483,7311,7311
1152,0.502402387542835,62.047452885286404,7516,7516
1184,0.4930470357726734,-7.986633111597682,7711,7711
1216,0.4838769553073389,75.32014023692355,7937,7937
1248,0.4748884770751347,45.839595654963226,8121,8121
1280,0.4660780046658436,-6.069891612982659,8319,8319
1312,0.45744201289175634,21.31391449224539,8513,8513
1344,0.44897704637719626,-8.517373319402282,8726,8726
1376,0.44067971817597806,103.97194937596892,8928,8928
1408,0.4325467084162451,102.42433790363334,9144,9144
1440,0.4245747629721438,35.82571664590157,9340,9340
1472,0.41676069216180556,117.45943891921851,9541,9541
1504,0.40910136947111164,-5.340961564098394,9770,9770
1536,0.4015937303027328,-7.594140921069312,9984,9984
1568,0.39423477074994395,100.41063768582983,10208,10208
1600,0.3870215463947201,71.7647356684931,10414,10414
1632,0.37995117112963583,96.40201589863436,10620,10620
1664,0.37302081600309456,4.390423286379835,10841,10841
1696,0.36622770808742855,89.3747589553184,11051,11051
1728,0.35956912936941154,84.24843779075215,11252,11252
1760,0.3530424156627473,38.42184653219805,11462,11462
1792,0.34664495554209174,90.2891954691959,11684,11684
1824,0.3403741892981874,106.1184200655146,11910,11910
1856,0.33422760791368933,132.4720016228737,12123,12123
1888,0.32820275205927363,58.15701472178033,12341,12341
1920,0.3222972111096276,122.77873142489695,12565,12565
1952,0.3165086221789254,86.69071878938325,12792,12792
1984,0.3108346691754065,15.58485500444277,13024,13024
2016,0.3052730818746763,89.82941361087728,13232,13232
2048,0.29982163501135883,110.12491096133667,13449,13449
2080,0.29447814738873856,89.20354762351893,13660,13660
2112,0.2892404810060344,-0.03609486643106363,13861,13861
2144,0.284106540202957,76.0793200848677,14066,14066
2176,0.27907427082120706,68.7351966029822,14284,14284
2208,0.2741416593825792,80.82877598309271,14498,14498
2240,0.26930673228334245,86.93185249115245,14697,14697
2272,0.26456755500457496,99.01043219585586,14901,14901
2304,0.25992223133813697,74.64597944801272,15098,15098
2336,0.2553689026279732,75.34253632585204,15310,15310
2368,0.25090574702643886,95.20991769358974,15525,15525
2400,0.24653097876535493,93.76505435531374,15751,15751
2432,0.2422428474414979,106.17016248314671,15953,15953
2464,0.23803963731624025,65.39367608451651,16180,16180
2496,0.23391966662906039,97.8216426278211,16400,16400
2528,0.229881286924648,56.19617674990266,16612,16612
2560,0.2259228823933349,71.26815846462534,16817,16817
2592,0.22204286922458805,135.82677550124987,17033,17033
2624,0.21823969497330584,88.5436003764858,17262,17262
2656,0.21451183793866394,79.09546912779146,17485,17485
2688,0.21085780655526254,143.68150498625027,17701,17701
2720,0.20727613879633136,33.55236678293616,17933,17933
2752,0.20376540158875261,40.73490463858292,18159,18159
2784,0.20032419023966985,91.58260742347021,18355,18355
2816,0.19695112787445154,113.63681727136697,18550,18550
2848,0.19364486488578472,118.15214597658864,18761,18761
2880,0.19040407839367948,81.33874727914227,18974,18974
2912,0.18722747171616694,24.74868574493819,19191,19191
2944,0.1841137738504793,66.30304324983078,19394,19394
2976,0.18106173896450478,112.79361937928832,19592,19592
3008,0.1780701458983137,58.66668127665183,19807,19807
3040,0.1751377976755557,118.86418423307445,20013,20013
3072,0.17226352102453382,127.02468215822027,20238,20238
3104,0.16944616590876274,107.1879819518961,20465,20465
3136,0.16668460506682373,69.05382459722448,20734,20734
3168,0.16397773356133244,112.08574205622271,20994,20994
3200,0.16132446833683864,85.16775581918779,21208,21208
3232,0.15872374778648116,124.84237088727987,21410,21410
3264,0.15617453132722509,94.49279775644546,21620,21620
3296,0.15367579898351008,95.80810935590974,21826,21826
3328,0.1512265509791451,80.51006276002106,22012,22012
3360,0.14882580733728432,83.25360401168015,22233,22233
3392,0.1464726074883252,87.82923970115712,22442,22442
3424,0.14416600988557188,-5.040875008281379,22668,22668
3456,0.1419050916285099,127.31120550460254,22899,22899
3488,0.13968894809354113,95.22214877828972,23120,23120
3520,0.13751669257203186,91.0070300143561,23344,23344
3552,0.13538745591552903,52.28427187298217,23570,23570
3584,0.13330038618800194,98.75559907594464,23780,23780
3616,0.13125464832497158,112.59737707766025,23988,23988
3648,0.1292494237993902,70.70473961418283,24221,24221
3680,0.12728391029413733,95.0890106702975,24434,24434
3712,0.12535732138100236,90.4159615791149,24650,24650
3744,0.12346888620602409,73.71917840543499,24880,24880
3776,0.12161784918106142,101.10174526416057,25104,25104
3808,0.11980346968147278,67.15289273930301,25311,25311
3840,0.11802502174978224,87.92677681106414,25559,25559
3872,0.11628179380521421,96.17967613345134,25778,25778
3904,0.11457308835898032,84.88237169110955,26022,26022
3936,0.11289822173520511,0.0,26250,26250
3968,0.11125652379737797,98.55039611732104,26459,26459
4000,0.1096473376802226,99.761145355428,26686,26686
4032,0.10807001952687656,-5.040875008281379,26923,26923
4064,0.10652393823127539,96.61300244534138,27142,27142
4096,0.10500847518563874,122.2819346266649,27406,27406
4128,0.10352302403295705,94.0046161761582,27631,27631
4160,0.10206699042438008,109.8998447191394,27850,27850
4192,0.10063979178141005,111.66855485602613,28098,28098
4224,0.099240857062804,67.30509261928624,28333,28333
4256,0.09786962653609275,91.90936730201588,28574,28574
4288,0.09652555155362444,97.05428237351633,28788,28788
4320,0.09520809433304309,65.4252639324784,29040,29040
4352,0.09391672774211493,127.20219288087122,29279,29279
4384,0.09265093508781576,83.56972479460461,29518,29518
4416,0.09141020990959484,78.30638763925657,29757,29757
4448,0.09019405577673362,111.64854618958158,29987,29987
4480,0.08900198608971704,134.17063548508696,30223,30223
