from_zone,to_zone,edge_source,polygon_distance_feet,centroid_distance_miles,fallback_travel_time_min
2,30,spatial_adjacency,0.0,1.0270781807213507,5.135390903606754
2,132,spatial_adjacency,0.0,3.1452480969111383,15.726240484555692
3,242,spatial_adjacency,0.0,1.2325248625004617,6.162624312502309
3,185,spatial_adjacency,0.0,0.784947091670741,3.9247354583537044
3,32,spatial_adjacency,0.0,0.9162387627103086,4.581193813551543
3,184,spatial_adjacency,0.0,2.089039247740358,10.44519623870179
3,51,spatial_adjacency,0.0,1.1986370017720918,5.993185008860459
3,81,spatial_adjacency,0.0,1.2684377338047903,6.342188669023951
3,254,spatial_adjacency,0.0,1.3613907396205454,6.806953698102727
4,232,spatial_adjacency,0.0,0.6988896594302756,3.494448297151378
4,148,spatial_adjacency,0.0,0.8031126353026996,4.015563176513498
4,79,spatial_adjacency,0.0,0.5412258121103908,2.706129060551954
4,224,spatial_adjacency,0.0,0.5570838671393881,2.7854193356969406
5,84,spatial_adjacency,0.0,1.654710613937032,8.273553069685159
5,204,spatial_adjacency,0.0,1.3265504608011773,6.632752304005887
5,99,spatial_adjacency,0.0,1.6674107090559187,8.337053545279593
6,118,spatial_adjacency,0.0,3.357080222197707,16.785401110988538
6,214,spatial_adjacency,0.0,1.1811420033665534,5.905710016832767
6,115,spatial_adjacency,0.0,1.4821122678655678,7.410561339327839
6,221,spatial_adjacency,0.0,1.2766920917263442,6.3834604586317205
7,193,spatial_adjacency,0.0,1.1730047853204995,5.865023926602497
7,226,spatial_adjacency,0.0,1.6625426048940781,8.31271302447039
7,260,spatial_adjacency,0.0,1.3826561480480757,6.913280740240379
7,146,spatial_adjacency,0.0,0.9385517436761515,4.692758718380758
7,207,spatial_adjacency,0.0,1.0810227351360169,5.405113675680084
7,179,spatial_adjacency,0.0,0.830030302651122,4.150151513255611
7,223,spatial_adjacency,0.0,1.3306509217180358,6.653254608590179
8,179,spatial_adjacency,0.0,0.5552317442814487,2.7761587214072434
8,223,spatial_adjacency,0.0,0.9306087436719422,4.6530437183597115
9,121,spatial_adjacency,0.0,1.741414403526769,8.707072017633845
9,98,spatial_adjacency,0.0,1.2738235216746985,6.369117608373492
9,192,spatial_adjacency,0.0,1.5172552612245507,7.586276306122754
9,73,spatial_adjacency,0.0,1.037057928905174,5.18528964452587
9,16,spatial_adjacency,0.0,1.1104910361383529,5.552455180691764
9,171,spatial_adjacency,0.0,1.646772335022918,8.23386167511459
10,219,spatial_adjacency,0.0,1.8095206001962738,9.047603000981368
10,218,spatial_adjacency,0.0,1.0552869479604758,5.276434739802379
10,216,spatial_adjacency,0.0,1.5081772864921292,7.540886432460646
10,205,spatial_adjacency,0.0,1.689023175573288,8.44511587786644
10,215,spatial_adjacency,0.0,1.0677630992232343,5.338815496116172
11,67,spatial_adjacency,0.0,1.109750852161534,5.54875426080767
11,14,spatial_adjacency,0.0,1.844101779748589,9.220508898742944
11,22,spatial_adjacency,0.0,0.8450564000439835,4.225282000219917
12,88,spatial_adjacency,0.0,0.21448958187684167,1.0724479093842083
12,261,spatial_adjacency,0.0,0.44767370494061914,2.238368524703096
12,13,spatial_adjacency,0.0,0.6279567991442221,3.1397839957211104
13,12,spatial_adjacency,0.0,0.6279567991442221,3.1397839957211104
13,261,spatial_adjacency,0.0,0.2564588495798985,1.2822942478994925
13,231,spatial_adjacency,0.0,0.584739683764877,2.923698418824385
14,11,spatial_adjacency,0.0,1.844101779748589,9.220508898742944
14,67,spatial_adjacency,0.0,0.9193118768313339,4.596559384156669
14,227,spatial_adjacency,0.0,1.7733865558755835,8.866932779377917
14,228,spatial_adjacency,0.0,2.136327052381702,10.68163526190851
15,16,spatial_adjacency,0.0,1.5662620439178399,7.831310219589199
15,171,spatial_adjacency,0.0,1.611706162607209,8.058530813036045
15,252,spatial_adjacency,0.0,1.5925701905957559,7.962850952978779
16,98,spatial_adjacency,0.0,1.9613702832274122,9.80685141613706
16,175,spatial_adjacency,0.0,1.7000956986138775,8.500478493069389
16,9,spatial_adjacency,0.0,1.1104910361383529,5.552455180691764
16,64,spatial_adjacency,0.0,1.794298970084395,8.971494850421976
16,171,spatial_adjacency,0.0,1.934394179173777,9.671970895868885
16,15,spatial_adjacency,0.0,1.5662620439178399,7.831310219589199
17,61,spatial_adjacency,0.0,1.301199405324907,6.505997026624534
17,49,spatial_adjacency,0.0,0.6984660776696711,3.492330388348355
17,217,spatial_adjacency,0.0,0.9703504685066388,4.851752342533193
17,80,spatial_adjacency,0.0,1.784717801778617,8.923589008893083
17,225,spatial_adjacency,0.0,0.9739567403006242,4.8697837015031205
17,37,spatial_adjacency,0.0,1.4729213964901062,7.364606982450531
18,20,spatial_adjacency,0.0,0.7197688321507472,3.598844160753736
18,47,spatial_adjacency,107.69818774089309,1.800570558080004,9.00285279040002
18,94,spatial_adjacency,0.0,0.8198811647959854,4.099405823979927
18,136,spatial_adjacency,0.0,0.840598067894007,4.202990339470035
18,174,spatial_adjacency,0.0,0.8760623540683716,4.380311770341858
18,241,spatial_adjacency,0.0,0.6725545158271687,3.362772579135844
19,191,spatial_adjacency,0.0,1.5876384996350013,7.938192498175007
19,175,spatial_adjacency,0.0,1.5492627976479993,7.746313988239996
19,101,spatial_adjacency,0.0,1.0947630290684907,5.473815145342453
19,64,spatial_adjacency,0.0,1.8572086073002325,9.286043036501162
20,78,spatial_adjacency,0.0,0.8847428752003568,4.423714376001784
20,31,spatial_adjacency,0.0,0.5444226182281604,2.722113091140802
20,18,spatial_adjacency,0.0,0.7197688321507472,3.598844160753736
20,47,spatial_adjacency,0.0,1.284128573185435,6.420642865927175
20,94,spatial_adjacency,0.0,0.7165736568028802,3.5828682840144013
