ablation_type,ablation_rank,mean_absolute_drop,std_absolute_drop,mean_percentage_drop,n
cumulative_top_shapley,1,0.5721133286957496,,0.5555310081380115,1
cumulative_top_shapley,2,0.6577413947373714,,0.6386772021996912,1
cumulative_top_shapley,3,0.688619703226351,,0.6686605236573212,1
cumulative_top_shapley,4,0.8623653006105343,,0.8373702216019855,1
cumulative_top_shapley,5,0.9250806997982863,,0.8982678570686778,1
random_control,1,0.09970074445230778,0.20586333958784872,0.09681098534090539,20
random_control,2,0.05020738176920716,0.12678846522657689,0.048752154531695124,20
random_control,3,0.2336882596891904,0.2685315948462565,0.22691496244477874,20
random_control,4,0.2811041619012634,0.26280049367753416,0.2729565465793348,20
random_control,5,0.3181938282751965,0.27465022803106437,0.30897119388563976,20
single_top_shapley,1,0.5721133286957496,,0.5555310081380115,1
single_top_shapley,2,0.08564382541489124,,0.08316149666010018,1
single_top_shapley,3,0.01071819683438946,,0.010407537098294938,1
single_top_shapley,4,0.0008519078235167399,,0.0008272158474577235,1
single_top_shapley,5,0.004748051535443665,,0.004610432450838736,1
