algorithm,event_type,event_count,total_minutes,total_revenue,total_distance_miles
dqn,EMPTY_REPOSITION,1,8.743423085281364,0.0,0.8738289522399111
dqn,OCCUPIED_TRIP,3,89.61763614113954,111.33847569262024,23.583580947935697
dqn,UNFINISHED_TRIP,1,6.163902788643952,0.0,1.4937818243082697
dqn,WAIT_FOR_PICKUP,4,10.475037984935156,0.0,0.0
dqn,WAIT_NO_PICKUP,1,4.999999999999993,0.0,0.0
finite_horizon_value_iteration,EMPTY_REPOSITION,1,11.580017070854609,0.0,1.269745182208421
finite_horizon_value_iteration,OCCUPIED_TRIP,3,59.37774309461808,111.56840905285122,21.013160294941034
finite_horizon_value_iteration,WAIT_FOR_PICKUP,4,4.04223983452731,0.0,0.0
finite_horizon_value_iteration,WAIT_NO_PICKUP,9,45.0,0.0,0.0
greedy_net_earnings,EMPTY_REPOSITION,1,30.41139526325307,0.0,5.052224497764085
greedy_net_earnings,OCCUPIED_TRIP,2,69.99947255992996,100.55001282527323,17.536661628712167
greedy_net_earnings,UNFINISHED_TRIP,1,16.60180783249446,0.0,2.735937881246763
greedy_net_earnings,WAIT_FOR_PICKUP,3,2.987324344322515,0.0,0.0
highest_demand,EMPTY_REPOSITION,1,18.687093303484303,0.0,1.4041933469266459
highest_demand,OCCUPIED_TRIP,2,88.10812881475344,91.28715177678932,17.617201102543618
highest_demand,UNFINISHED_TRIP,1,3.7417149174835345,0.0,0.7119142282643062
highest_demand,WAIT_FOR_PICKUP,3,4.463062964278723,0.0,0.0
highest_demand,WAIT_NO_PICKUP,1,5.0,0.0,0.0
highest_income,EMPTY_REPOSITION,1,35.171797950226974,0.0,5.800620334703995
highest_income,OCCUPIED_TRIP,1,82.97893525059727,86.98195481440644,15.059542583676855
highest_income,WAIT_FOR_PICKUP,1,0.7213767689566427,0.0,0.0
highest_income,WAIT_NO_PICKUP,1,1.1278900302191062,0.0,0.0
q_learning,EMPTY_REPOSITION,2,62.61018837816308,0.0,5.732998763098327
q_learning,OCCUPIED_TRIP,2,48.54031215665826,98.63232357962818,20.245181920016126
q_learning,UNFINISHED_TRIP,1,6.1923761755162445,0.0,0.6810185061327466
q_learning,WAIT_FOR_PICKUP,3,2.657123289662416,0.0,0.0
wait_only,OCCUPIED_TRIP,3,88.23953879565288,108.64797928307313,17.106352543334697
wait_only,WAIT_FOR_PICKUP,3,2.9389287335917853,0.0,0.0
wait_only,WAIT_NO_PICKUP,6,28.821532470755344,0.0,0.0
